SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,2078.00,2093.35,2036.05,2047.70,2047.70,2078.45,1301,14257,29378933.00,
500003,AEGIS LOGIS ,A ,Q,206.00,207.00,200.45,201.70,201.70,205.35,1522,129452,26382823.00,
500008,AMAR RAJA BA,A ,Q,578.25,588.30,575.50,577.35,576.30,578.55,2008,76408,44355710.00,
500009,A.SARABHAI  ,X ,Q,33.00,33.30,32.75,33.10,33.10,32.90,476,186832,6171857.00,
500010,HDFC        ,A ,Q,2407.00,2422.30,2341.00,2346.20,2346.20,2402.80,10287,107726,255040123.00,
500012,ANDHRA PETRO,B ,Q,101.80,103.50,100.50,101.75,101.75,100.25,1059,160895,16380910.00,
500013,ANSAL INFRAS,B ,Q,14.45,14.55,13.85,14.55,14.55,13.90,64,24088,349360.00,
500014,UTIQUE      ,XT,Q,6.37,6.37,6.37,6.37,6.37,6.70,171,32543,207298.00,
500016,ARUNAHTEL   ,X ,Q,9.79,9.88,9.42,9.47,9.47,9.41,36,21831,210209.00,
500020,BOM DYEING  ,A ,Q,100.85,103.30,98.50,99.00,99.00,99.95,2286,266317,26845396.00,
500023,ASIANHOTNR  ,B ,Q,82.00,82.00,77.10,78.35,78.90,77.10,105,7081,564551.00,
500027,ATUL LTD.   ,A ,Q,9970.00,10041.70,9587.45,9683.25,9725.00,9969.10,822,2140,21011816.00,
500028,ATV PROJECTS,XT,Q,10.38,10.38,9.50,9.89,9.89,9.90,63,15077,147648.00,
500031,BAJAJ ELECT.,A ,Q,1057.00,1077.00,1034.55,1060.15,1060.15,1038.40,1837,21126,22369936.00,
500032,BAJAJHIND   ,A ,Q,15.47,15.60,15.11,15.14,15.14,15.47,2197,1256982,19281238.00,
500033,FORCE MOTR  ,A ,Q,1071.50,1081.90,1066.45,1071.30,1071.00,1068.50,793,3798,4077887.00,
500034,BAJFINANCE  ,A ,Q,7044.00,7104.90,6970.00,6998.15,6998.15,6985.00,4076,37012,260386285.00,
500038,BALRAM.CHINI,A ,Q,491.50,504.00,489.55,494.20,494.20,491.25,2430,101110,50029611.00,
500039,BANCO PROD. ,B ,Q,146.25,146.55,143.00,143.20,143.00,144.10,402,11510,1663487.00,
