TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-09-26,2024-09-26,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8202.00,8214.95,7968.70,8068.85,8083.25,8173.95,,8070.40,,,5844,47110051.00,2533,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,745.00,752.75,740.85,748.10,750.25,750.45,,748.25,,,2541,1895922.00,235,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,1369.80,1369.80,1325.05,1329.95,1329.95,1365.40,,1329.95,,,27891,37355162.00,3161,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,58.21,59.26,57.02,57.54,57.54,58.81,,57.54,,,174778,10094027.00,974,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,95.65,96.74,94.80,95.07,95.07,95.65,,95.07,,,104525,9981568.00,1207,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,7.67,7.89,7.57,7.80,7.89,7.72,,7.80,,,36044,277428.00,163,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,11.67,12.20,11.67,12.14,11.85,11.91,,12.14,,,13536,162884.00,70,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,219.00,219.10,211.60,212.65,212.20,218.10,,212.78,,,98313,21125936.00,1284,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,169.20,181.70,167.85,181.70,181.70,173.05,,178.61,,,981,171261.00,45,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,7514.05,7583.50,7444.45,7557.55,7578.30,7504.70,,7563.20,,,807,6050195.00,301,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500028,INE447A01015,ATVPR,XT,,,,,ATV PROJECTS INDIA LTD.,33.00,33.66,33.00,33.50,33.50,33.00,,33.50,,,6369,212482.00,40,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,979.60,981.85,965.00,970.10,971.65,979.60,,970.90,,,3316,3222156.00,513,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,40.26,40.80,39.83,40.01,40.01,40.65,,40.01,,,1327036,53243713.00,5548,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,7085.00,7085.00,6905.00,6961.60,6966.00,7067.10,,6961.45,,,2784,19355619.00,862,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500034,INE296A01024,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,7659.80,7778.80,7590.25,7768.40,7768.40,7623.80,,7768.40,,,47364,364767274.00,7527,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD.,607.90,614.80,602.50,612.50,611.60,607.75,,612.75,,,32136,19619798.00,1419,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,B,,,,,BANCO PRODUCTS (INDIA) LTD.,673.90,677.70,669.75,671.25,669.75,675.00,,671.90,,,1475,992464.00,143,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500040,INE055A01016,CENTURYTEX,A,,,,,CENTURY TEXTILES & INDUSTRIES,2742.20,2756.35,2694.80,2708.00,2706.55,2745.75,,2710.10,,,10099,27405237.00,1421,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500041,INE459A01010,BANARISUG,B,,,,,BANNARI AMMAN SUGARS LTD.,3545.65,3564.40,3497.95,3555.45,3536.05,3510.45,,3564.45,,,248,875474.00,102,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500042,INE373A01013,BASF,A,,,,,BASF INDIA LTD.,6725.00,6917.65,6655.05,6816.45,6900.00,6726.95,,6857.25,,,1559,10561015.00,481,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500043,INE176A01028,BATAINDIA,A,,,,,BATA INDIA LTD.,1425.00,1428.70,1415.00,1425.35,1423.30,1428.35,,1426.00,,,5953,8446628.00,903,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500048,INE258A01016,BEML,A,,,,,BEML LTD.,3747.15,3800.55,3698.80,3742.30,3733.25,3745.10,,3740.75,,,4077,15275056.00,780,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500049,INE263A01024,BEL,A,,,,,BHARAT ELECTRONICS LTD.,290.10,291.80,289.05,290.35,290.35,289.85,,290.50,,,640460,185865895.00,8912,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500052,INE922A01025,BEPL,B,,,,,BHANSALI ENGINEERING POLYMERS,153.05,156.00,151.80,152.55,152.55,155.35,,152.69,,,144458,22180791.00,2143,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500058,INE819C01011,BIHSPONG,X,,,,,BIHAR SPONGE IRON LTD.,22.59,23.34,22.05,22.20,22.20,22.59,,22.20,,,45270,1003900.00,237,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500059,INE071A01013,BINANIIND,T,,,,,BINANI INDUSTRIES LTD.,16.90,18.00,16.30,17.97,18.00,17.15,,17.94,,,34450,581478.00,98,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500060,INE800A01015,BIRLACABLE,B,,,,,Birla Cable Limited,260.00,260.00,255.95,256.75,256.00,259.85,,256.80,,,8678,2234561.00,407,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500067,INE472A01039,BLUESTARCO,A,,,,,BLUE STAR LTD.,2054.20,2197.85,2030.70,2136.30,2132.00,2053.90,,2134.85,,,67450,143541980.00,4945,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500068,INE131C01011,DISAQ,B,,,,,DISA INDIA LTD.,18000.00,18050.00,17810.10,17890.05,17890.05,18000.00,,17890.05,,,53,950559.00,22,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500069,INE418C01012,QUESTCAP,X,,,,,QUEST CAPITAL MARKETS LIMITED,520.00,566.00,520.00,527.65,525.00,512.30,,527.65,,,12208,6597551.00,152,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500074,INE110A01019,BPL,T,,,,,BPL LTD.,110.15,113.00,108.65,110.05,110.00,110.15,,109.18,,,7796,858175.00,158,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500078,INE959C01023,OAL,B,,,,,ORIENTAL AROMATICS LIMITED,501.05,501.60,491.05,495.00,494.55,505.60,,494.00,,,2122,1052402.00,258,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500083,INE281A01026,CENTEXT,T,,,,,CENTURY EXTRUSIONS LTD.,24.80,25.45,24.10,24.41,24.41,24.35,,24.36,,,10448,253750.00,63,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500084,INE486A01021,CESC,A,,,,,CESC LTD.,207.30,212.70,201.15,204.05,204.75,206.00,,204.08,,,487554,100649291.00,4650,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500085,INE085A01013,CHAMBLFERT,A,,,,,CHAMBAL FERTILISERS & CHEMICAL,516.95,516.95,501.65,508.50,508.50,515.25,,508.10,,,82308,41641128.00,2539,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500086,INE302A01020,EXIDEIND,A,,,,,EXIDE INDUSTRIES LTD.,473.70,473.85,465.30,471.50,471.50,473.55,,471.75,,,64339,30191110.00,2906,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500087,INE059A01026,CIPLA,A,,,,,CIPLA LTD.,1643.70,1652.30,1602.65,1622.10,1621.00,1643.20,,1621.80,,,48508,78848261.00,5797,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500092,INE007A01025,CRISIL,A,,,,,CRISIL LTD.,4544.05,4606.20,4528.05,4590.75,4589.25,4545.15,,4588.35,,,662,3019732.00,251,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500093,INE067A01029,CGPOWER,A,,,,,CG Power and Industrial Soluti,776.00,777.45,758.50,772.45,772.45,775.80,,772.10,,,71466,54838035.00,4343,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500096,INE016A01026,DABUR,A,,,,,DABUR INDIA LTD.,629.00,629.00,620.95,625.70,625.70,627.10,,625.75,,,62769,39218663.00,3713,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500097,INE495A01022,DALMIASUG,B,,,,,DALMIA BHARAT SUGAR AND INDUST,534.00,540.50,516.50,522.85,522.85,529.20,,524.25,,,62357,33026938.00,2222,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500101,INE034A01011,ARVIND,A,,,,,ARVIND LTD.,397.00,398.20,387.15,388.60,388.60,396.40,,388.65,,,14978,5837603.00,717,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500103,INE257A01026,BHEL,A,,,,,BHARAT HEAVY ELECTRICALS LTD.,282.00,283.40,277.85,280.65,280.65,282.05,,280.65,,,334479,93872112.00,5592,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500104,INE094A01015,HINDPETRO,A,,,,,HINDUSTAN PETROLEUM CORPORATIO,416.20,423.20,408.70,422.30,422.30,417.05,,421.95,,,206404,86002133.00,3688,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500106,INE039A01010,IFCI,A,,,,,IFCI LTD.,68.01,68.33,65.50,65.87,65.87,67.91,,65.82,,,892576,59313488.00,4378,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500108,INE153A01019,MTNL,A,,,,,MAHANAGAR TELEPHONE NIGAM LTD.,52.78,54.95,52.61,52.98,52.98,52.74,,53.01,,,428856,22923468.00,2893,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500109,INE103A01014,MRPL,A,,,,,MANGALORE REFINERY & PETROCHEM,178.15,179.25,174.65,178.00,178.00,177.75,,177.82,,,157197,27897299.00,2608,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500110,INE178A01016,CHENNPETRO,A,,,,,CHENNAI PETROLEUM CORPORATION,930.95,930.95,914.60,919.25,921.45,926.50,,919.75,,,7074,6499547.00,519,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500112,INE062A01020,SBIN,A,,,,,STATE BANK OF INDIA,795.15,803.00,791.55,801.90,801.90,792.95,,801.85,,,432917,344970140.00,15691,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500113,INE114A01011,SAIL,A,,,,,STEEL AUTHORITY OF INDIA LTD.,135.60,139.65,132.30,139.25,139.25,134.20,,139.20,,,1807936,249274983.00,12130,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500114,INE280A01028,TITAN,A,,,,,TITAN COMPANY LIMITED,3738.45,3776.20,3700.15,3757.80,3757.80,3738.45,,3757.55,,,98630,368385487.00,8839,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500116,INE008A01015,IDBI,A,,,,,IDBI BANK LTD.,89.07,89.50,87.41,88.29,88.29,89.02,,88.28,,,337041,29770596.00,1789,F1,1,,,,,
2024-09-26,2024-09-26,CM,BSE,STK,500117,INE500A01029,DCW,A,,,,,DCW LTD.,97.00,100.78,96.16,96.91,96.80,96.59,,96.99,,,373016,36687477.00,2374,F1,1,,,,,
