SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1898.90,1898.90,1865.00,1872.30,1872.30,1872.00,554,2670,5025396.00,
500003,AEGIS LOGIS ,A ,Q,229.65,231.70,229.00,230.15,230.15,228.65,1638,64845,14942578.00,
500008,AMAR RAJA BA,A ,Q,750.10,764.95,750.10,758.60,758.60,751.15,4521,95737,72768910.00,
500009,A.SARABHAI  ,X ,Q,30.60,33.35,30.50,33.35,33.35,30.35,1834,668559,21510757.00,
500010,HDFC        ,A ,Q,2761.00,2774.05,2723.65,2728.75,2728.75,2748.15,1736,23386,64115994.00,
500012,ANDHRA PETRO,XT,Q,144.75,145.80,140.50,141.30,141.30,143.85,1245,182880,25934630.00,
500013,ANSAL INFRAS,B ,Q,8.95,10.77,8.95,10.77,10.77,8.98,220,88402,923158.00,
500014,UTIQUE      ,X ,Q,2.81,2.88,2.66,2.78,2.72,2.73,152,144250,397620.00,
500016,ARUNAHTEL   ,XT,Q,14.00,14.40,13.60,13.95,13.65,13.80,56,24618,339462.00,
500020,BOM DYEING  ,A ,Q,96.30,97.80,95.60,96.35,96.35,95.15,3847,519398,50238135.00,
500023,ASIANHOTNR  ,B ,Q,85.15,89.90,85.10,87.85,87.50,87.75,109,2951,259542.00,
500027,ATUL LTD.   ,A ,Q,10216.00,10500.00,10157.30,10414.30,10414.30,9803.60,2124,5365,55642425.00,
500028,ATV PROJECTS,XT,Q,8.56,8.98,8.50,8.91,8.66,8.56,61,28299,251018.00,
500031,BAJAJ ELECT.,A ,Q,1276.00,1279.90,1243.70,1253.70,1253.70,1264.15,2048,15266,19175934.00,
500032,BAJAJHIND   ,T ,Q,16.30,16.60,15.70,15.90,15.90,16.40,2859,686440,11023686.00,
500033,FORCE MOTR  ,A ,Q,1505.55,1555.00,1505.50,1520.20,1518.50,1494.65,1449,9945,15209975.00,
500034,BAJFINANCE  ,A ,Q,7812.00,7882.95,7740.00,7747.65,7747.65,7736.65,9332,76952,599597087.00,
500038,BALRAM.CHINI,A ,Q,382.00,382.00,373.10,375.20,375.20,378.90,3218,83806,31480849.00,
500039,BANCO PROD. ,B ,Q,201.00,202.60,197.30,197.80,197.80,199.00,2368,47382,9452307.00,
500040,CENTURY TEXT,A ,Q,930.35,955.55,928.95,931.75,931.75,923.70,1649,31818,29970839.00,
500041,BANNARI AMAN,A ,Q,2285.95,2329.95,2249.05,2313.55,2322.30,2277.75,94,187,429266.00,
500042,BASF INDIA  ,A ,Q,3546.55,3563.60,3480.45,3501.20,3486.30,3527.60,720,2136,7510063.00,
500043,BATA INDIA  ,A ,Q,1823.55,1952.00,1823.55,1944.90,1944.90,1828.85,9185,93844,179108975.00,
500048,BEML LTD    ,A ,Q,1514.00,1558.00,1484.00,1535.90,1535.90,1494.00,5034,43612,66341727.00,
500049,BHARAT ELECT,A ,Q,201.80,203.60,200.05,203.10,203.10,199.10,1215,124779,25271879.00,
500052,BHANSALI ENG,A ,Q,204.05,213.10,204.05,206.90,206.90,203.00,5880,375067,78284747.00,
500055,TATASTLBSL  ,T ,Q,85.80,85.80,84.00,84.90,84.90,83.90,3333,257035,21818153.00,
500058,BIHAR SPONGE,XT,Q,11.00,11.19,10.22,10.31,10.60,10.75,692,83001,856100.00,
500060,BIRLACABLE  ,T ,Q,91.90,92.90,88.70,90.70,91.35,90.30,92,4800,435811.00,
500067,BLUE STAR   ,A ,Q,863.05,890.00,863.05,888.25,890.00,867.65,821,4678,4104346.00,
500068,DISA INDIA  ,X ,Q,5535.10,5669.00,5535.00,5535.35,5535.00,5643.70,40,174,965939.00,
500069,BNK CAPITAL ,X ,Q,304.00,308.80,280.35,280.35,280.35,295.10,158,12440,3642442.00,
500074,BPL LTD.    ,T ,Q,152.65,152.65,152.65,152.65,152.65,145.40,128,12927,1973306.00,
500078,OAL         ,B ,Q,949.75,962.50,930.00,931.10,930.00,940.30,1019,4694,4412287.00,
500083,CENTURY EXT ,B ,Q,9.42,9.42,9.11,9.14,9.20,9.40,220,73973,679641.00,
500084,CESC LTD.   ,A ,Q,91.75,93.00,88.80,89.35,89.35,91.40,7630,604751,54835824.00,
500085,CHAMBAL FERT,A ,Q,350.25,388.00,350.25,375.85,378.25,341.20,9616,447876,167152957.00,
500086,EXIDE IND.  ,A ,Q,180.00,185.70,180.00,184.15,184.15,179.40,13693,1148696,211573782.00,
500087,CIPLA LTD.  ,A ,Q,916.20,921.80,895.25,916.05,916.05,914.20,18507,3728858,3347333564.00,
