SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,2275.00,2342.05,2228.10,2241.70,2245.00,2261.65,2394,15668,36047571.00,
500003,AEGIS LOGIS ,A ,Q,223.70,224.15,215.70,217.10,217.10,219.75,745,20789,4532748.00,
500008,AMAR RAJA BA,A ,Q,628.45,628.45,608.45,611.05,611.20,620.50,1713,37266,22917951.00,
500009,A.SARABHAI  ,X ,Q,29.30,30.40,29.30,29.80,29.80,29.75,545,136408,4093025.00,
500010,HDFC        ,A ,Q,2588.00,2588.00,2526.00,2533.90,2533.90,2570.25,3003,19669,49970477.00,
500012,ANDHRA PETRO,B ,Q,124.50,125.00,122.10,123.15,123.15,122.65,1123,146410,18088270.00,
500013,ANSAL INFRAS,T ,Q,11.75,12.50,11.75,12.03,12.03,12.22,73,17723,212680.00,
500014,UTIQUE      ,X ,Q,9.88,9.88,9.03,9.88,9.88,9.41,873,342390,3369120.00,
500016,ARUNAHTEL   ,XT,Q,8.85,8.99,8.21,8.21,8.21,8.64,74,31925,264181.00,
500020,BOM DYEING  ,A ,Q,106.70,108.00,103.50,104.30,104.30,107.20,7847,1030552,108625306.00,
500023,ASIANHOTNR  ,B ,Q,70.00,74.10,70.00,70.15,70.15,70.75,5,23,1617.00,
500027,ATUL LTD.   ,A ,Q,8839.95,8861.70,8601.00,8697.25,8700.50,8823.35,712,1290,11214190.00,
500028,ATV PROJECTS,XT,Q,14.10,14.10,13.00,13.50,13.50,13.45,101,33823,455418.00,
500031,BAJAJ ELECT.,A ,Q,1330.80,1350.00,1262.75,1284.40,1283.45,1332.00,2298,21237,27882556.00,
500032,BAJAJHIND   ,A ,Q,14.06,14.17,13.45,13.65,13.65,14.04,758,373098,5105237.00,
500033,FORCE MOTR  ,A ,Q,1265.00,1265.00,1243.75,1253.10,1252.80,1259.20,603,2657,3330694.00,
500034,BAJFINANCE  ,A ,Q,6997.00,6999.00,6760.00,6851.40,6851.40,6917.50,4681,27507,188215938.00,
500038,BALRAM.CHINI,A ,Q,332.00,334.00,322.70,325.35,325.35,333.00,1694,51299,16858331.00,
500039,BANCO PROD. ,B ,Q,170.05,173.50,168.00,171.30,171.50,169.25,374,5760,983189.00,
500040,CENTURY TEXT,A ,Q,890.00,931.50,888.15,912.75,912.75,889.25,4438,81910,74976787.00,
500041,BANNARI AMAN,A ,Q,2518.50,2518.50,2440.05,2458.55,2455.45,2508.70,48,110,271663.00,
500042,BASF INDIA  ,A ,Q,2807.25,2818.60,2758.05,2781.55,2759.75,2805.85,341,1196,3340186.00,
500043,BATA INDIA  ,A ,Q,1860.85,1864.90,1821.00,1825.90,1825.55,1856.90,804,5770,10625770.00,
500048,BEML LTD    ,A ,Q,1701.10,1723.55,1650.35,1654.30,1654.30,1709.55,1440,9212,15421226.00,
500049,BHARAT ELECT,A ,Q,206.30,208.70,202.45,204.05,204.35,208.70,2033,140953,28831240.00,
500052,BHANSALI ENG,A ,Q,165.00,165.00,159.20,161.30,161.30,162.95,1448,47280,7617515.00,
500058,BIHAR SPONGE,XT,Q,10.98,10.99,9.97,10.42,10.40,10.49,234,79121,812662.00,
500060,BIRLACABLE  ,B ,Q,90.30,91.20,87.45,89.20,89.95,89.20,186,2771,247571.00,
500067,BLUE STAR   ,A ,Q,1019.00,1031.40,972.10,977.30,982.80,1006.15,913,4092,4060084.00,
500068,DISA INDIA  ,X ,Q,5705.05,5838.95,5688.00,5700.30,5701.10,5676.00,25,93,530550.00,
500069,BNK CAPITAL ,X ,Q,241.40,250.00,234.00,242.00,242.00,241.95,34,731,178319.00,
500074,BPL LTD.    ,T ,Q,65.90,67.00,63.00,64.10,64.20,65.75,244,10700,686110.00,
500078,OAL         ,B ,Q,709.90,711.70,675.30,699.15,703.85,684.65,170,927,647678.00,
500083,CENTURY EXT ,B ,Q,12.00,12.00,10.90,11.15,11.15,11.32,221,30696,341097.00,
500084,CESC LTD.   ,A ,Q,86.80,87.15,85.10,85.30,85.30,86.80,937,79250,6792791.00,
500085,CHAMBAL FERT,A ,Q,396.70,396.70,379.85,380.75,380.75,392.80,2829,99860,38466368.00,
500086,EXIDE IND.  ,A ,Q,165.90,165.90,162.15,162.75,163.20,164.35,1905,121203,19748524.00,
500087,CIPLA LTD.  ,A ,Q,912.00,912.55,902.05,907.70,907.70,908.65,1249,22786,20659573.00,
500089,DIC INDIA   ,B ,Q,390.10,409.90,388.00,388.20,388.00,395.90,23,263,102346.00,
500092,CRISIL LTD  ,A ,Q,3030.00,3038.10,2973.00,2997.30,3011.75,3032.00,519,1606,4825672.00,
500093,CGPOWER     ,T ,Q,181.45,181.45,174.75,177.05,177.05,178.55,625,41377,7375418.00,
500096,DABUR (I)   ,A ,Q,570.70,572.55,562.10,564.00,564.00,569.65,2295,32540,18471384.00,
500097,DALMIASUG   ,A ,Q,395.95,395.95,367.05,372.00,371.15,377.55,477,5598,2090442.00,
500101,ARVIND Ltd  ,A ,Q,115.00,115.10,112.35,112.90,113.00,114.80,1239,67037,7585721.00,
500102,BALARPUR IND,Z ,Q,2.31,2.31,2.31,2.31,2.31,2.20,425,1898884,4386422.00,
500103,BHEL        ,A ,Q,58.95,59.25,56.90,57.15,57.15,58.85,11284,2295770,131918346.00,
500104,HIND.PETRO  ,A ,Q,297.00,297.00,290.20,291.85,291.85,294.75,1151,47696,13947973.00,
500106,IFCI LTD    ,A ,Q,15.94,16.02,15.43,15.54,15.55,15.94,10893,619161,9678799.00,
500108,MAHA.TELE   ,A ,Q,30.65,33.30,29.25,32.25,32.25,30.50,11626,3818880,121480696.00,
500109,MRPL        ,A ,Q,43.45,43.45,42.20,42.40,42.40,42.75,381,36376,1547152.00,
500110,CHENNAI PET.,A ,Q,101.10,102.05,99.60,100.30,100.65,101.10,582,17755,1781900.00,
500111,REL.CAP.    ,T ,Q,14.15,14.15,13.25,13.65,13.65,13.90,931,208703,2829570.00,
500112,STATE BANK  ,A ,Q,463.45,463.45,452.20,456.85,456.85,461.95,18611,725349,330920177.00,
500113,STEEL AUTH. ,A ,Q,111.50,112.00,107.85,108.80,108.80,111.40,12262,1885606,205517027.00,
500114,TITAN       ,A ,Q,2330.15,2344.85,2310.70,2316.40,2316.40,2327.35,1514,17198,39911253.00,
500116,IDBI BANK L ,A ,Q,47.85,48.30,46.70,46.95,46.95,47.85,2758,840625,39747257.00,
500117,DCW LTD.    ,T ,Q,39.60,40.40,39.00,39.45,39.90,39.70,497,63275,2488701.00,
500119,DHAMPUR SUGA,A ,Q,294.65,297.00,287.45,289.85,289.70,292.75,456,7618,2227959.00,
500120,DIAMINES&CHM,X ,Q,254.25,256.90,242.25,250.70,250.55,254.25,108,4331,1086548.00,
500123,ELANTAS     ,B ,Q,3646.10,3646.10,3525.25,3566.35,3552.00,3624.50,64,276,984369.00,
500124,DR.REDDY'S  ,A ,Q,4714.40,4730.00,4615.00,4639.10,4621.00,4693.25,1219,5606,26131381.00,
500125,E.I.D.PAR   ,A ,Q,441.40,449.10,433.00,435.55,436.35,445.20,1007,8429,3700989.00,
500126,PGHL        ,A ,Q,5180.00,5180.05,5089.40,5103.50,5105.40,5187.50,197,244,1247798.00,
500128,ELEC.CASTING,B ,Q,33.00,33.45,32.00,32.80,32.85,32.95,419,37444,1222648.00,
500133,ESAB INDIA  ,A ,Q,3148.00,3301.00,3070.00,3210.75,3182.50,3112.30,431,1245,4002590.00,
500135,EPL         ,A ,Q,202.15,204.75,196.45,197.15,198.05,202.15,319,2600,519286.00,
500136,ESTER INDUS.,B ,Q,126.15,126.80,123.45,124.65,124.65,127.50,576,11406,1420162.00,
500142,FGP LTD.    ,X ,Q,3.21,3.21,3.21,3.21,3.21,3.06,2,650,2086.00,
500143,P.H.CAPITAL ,X ,Q,118.45,118.45,118.45,118.45,118.45,112.85,48,4727,559913.00,
500144,FINOL. CABLE,A ,Q,545.00,545.00,523.30,532.50,530.75,534.30,709,6259,3321875.00,
500147,COCKERILL   ,X ,Q,1132.00,1174.00,1130.50,1149.85,1151.00,1143.70,101,3899,4485245.00,
500148,UFLEX LTD   ,A ,Q,515.00,515.10,497.95,501.85,502.75,514.35,642,6490,3285190.00,
500150,FOSECO INDIA,B ,Q,1431.45,1449.00,1410.00,1447.65,1448.00,1444.00,28,131,187607.00,
500151,GOLDEN TOB  ,T ,Q,138.95,138.95,127.20,130.05,131.00,133.85,65,2491,321705.00,
500153,GANESH BENZO,B ,Q,104.00,104.30,98.00,99.05,99.05,102.60,695,25982,2598113.00,
500159,METROGLOBL  ,X ,Q,81.00,85.00,81.00,81.85,81.50,82.30,24,519,42403.00,
500160,GTL LTD.    ,B ,Q,19.50,19.96,18.16,19.96,19.96,19.01,1153,392168,7610715.00,
500163,GODFREY PH  ,A ,Q,1166.90,1166.90,1127.00,1131.85,1138.00,1150.35,400,1726,1967815.00,
500164,GODREJ IND  ,A ,Q,621.80,638.65,614.15,629.50,631.20,620.35,1488,14706,9259812.00,
500165,KANSAI NERO ,A ,Q,586.80,587.25,573.30,575.30,576.35,584.35,843,9613,5540141.00,
500166,GOODRICKE   ,XT,Q,217.00,223.00,214.10,217.10,217.50,216.60,65,7824,1701703.00,
500168,GOODYEAR (I),B ,Q,978.45,978.45,952.00,956.50,955.10,976.50,393,3392,3254353.00,
500170,GTN INDUS   ,X ,Q,37.50,40.75,37.05,37.10,37.10,38.95,161,35738,1340008.00,
500171,GHCL LTD    ,A ,Q,379.35,379.35,367.45,368.95,371.00,368.85,411,5682,2099220.00,
