SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,4327.70,4380.00,4316.60,4373.80,4380.00,4328.20,1937,6149,26741200.00,
500003,AEGIS LOGIS ,A ,Q,350.85,350.85,345.75,347.35,347.10,346.65,1009,20305,7052720.00,
500008,AMAR RAJA BA,A ,Q,636.00,640.00,631.10,633.55,634.35,636.60,2303,42041,26731419.00,
500009,A.SARABHAI  ,X ,Q,30.02,31.50,29.60,29.92,30.00,30.37,652,232459,7061548.00,
500010,HDFC        ,A ,Q,2654.95,2663.25,2632.00,2657.85,2657.85,2654.95,9910,128214,339109229.00,
500012,ANDHRA PETRO,X ,Q,59.98,59.98,58.00,58.54,58.54,59.68,768,103638,6114679.00,
500013,ANSAL INFRAS,T ,Q,9.13,9.52,9.13,9.37,9.44,9.55,38,9093,84648.00,
500014,UTIQUE      ,X ,Q,5.40,5.40,5.20,5.29,5.25,5.32,129,19887,105181.00,
500016,ARUNAHTEL   ,XT,Q,19.77,19.77,19.77,19.77,19.77,20.81,104,36436,720339.00,
500020,BOM DYEING  ,B ,Q,97.05,107.00,96.41,106.50,106.50,97.70,5703,844241,87303376.00,
500023,ASIANHOTNR  ,T ,Q,180.00,188.60,176.05,178.20,178.20,180.00,17,882,158527.00,
500027,ATUL LTD.   ,A ,Q,7016.95,7127.40,6992.05,7112.00,7111.25,7018.55,1149,13713,96749926.00,
500028,ATV PROJECTS,XT,Q,9.26,9.98,9.26,9.71,9.79,9.58,74,10593,101663.00,
500031,BAJAJ ELECT.,A ,Q,1234.90,1234.90,1201.85,1208.55,1208.55,1231.50,819,8360,10144397.00,
500032,BAJAJHIND   ,A ,Q,16.02,16.50,15.75,16.40,16.40,16.01,2437,2197601,35307886.00,
500033,FORCE MOTR  ,B ,Q,2208.55,2251.95,2168.15,2217.90,2224.65,2200.10,489,2672,5899756.00,
500034,BAJFINANCE  ,A ,Q,7375.00,7375.00,7202.00,7247.85,7247.90,7384.95,3492,19341,140181386.00,
500038,BALRAM.CHINI,A ,Q,391.20,400.75,387.75,397.85,397.85,395.10,1796,52973,20905849.00,
500039,BANCO PROD. ,B ,Q,305.00,309.10,304.35,306.55,307.50,307.50,396,6844,2100759.00,
500040,CENTURY TEXT,A ,Q,819.00,848.80,814.00,831.15,831.15,814.10,4823,151658,126469912.00,
500041,BANNARI AMAN,B ,Q,2795.60,2811.45,2793.00,2802.45,2793.00,2772.95,10,19,53251.00,
500042,BASF INDIA  ,A ,Q,2561.70,2605.00,2553.20,2599.10,2590.00,2554.50,207,1009,2607569.00,
500043,BATA INDIA  ,A ,Q,1625.95,1644.00,1620.40,1639.10,1639.10,1626.40,2130,17212,28178192.00,
500048,BEML LTD    ,A ,Q,1576.85,1646.10,1555.00,1630.10,1630.10,1572.35,1757,18464,29685033.00,
500049,BHARAT ELECT,A ,Q,124.80,126.55,123.95,125.20,125.20,124.80,5113,475064,59418058.00,
500052,BHANSALI ENG,A ,Q,129.80,131.90,128.75,129.20,129.25,130.10,384,25802,3345249.00,
500058,BIHAR SPONGE,XT,Q,9.28,9.28,9.00,9.08,9.08,9.13,56,15122,136649.00,
500059,BINANI IND. ,T ,Q,19.69,19.69,18.77,18.96,18.96,19.40,40,7471,141986.00,
500060,BIRLACABLE  ,B ,Q,177.75,178.00,172.40,175.40,175.65,173.95,754,22277,3889857.00,
500067,BLUE STAR   ,A ,Q,778.65,804.70,770.55,790.35,790.35,1525.35,1515,20968,16593390.00,
500068,DISA INDIA  ,B ,Q,9763.00,9949.95,9650.00,9676.60,9660.00,9743.15,47,125,1216541.00,
500069,QUESTCAP    ,X ,Q,255.00,260.00,255.00,255.45,255.40,261.10,4,216,55124.00,
500074,BPL LTD.    ,B ,Q,63.00,63.00,60.50,60.86,60.70,61.84,203,7980,487556.00,
500078,OAL         ,B ,Q,343.00,353.35,343.00,350.65,350.00,347.45,94,917,321505.00,
500083,CENTURY EXT ,B ,Q,10.00,10.00,9.66,9.93,9.95,10.00,333,49694,489864.00,
500084,CESC LTD.   ,A ,Q,72.00,73.55,71.76,73.04,73.04,72.01,1868,287751,20944867.00,
500085,CHAMBAL FERT,A ,Q,279.85,280.15,277.20,278.85,279.00,278.35,1676,66336,18505636.00,
500086,EXIDE IND.  ,A ,Q,213.20,221.90,212.95,220.35,220.35,213.20,7915,544504,119120553.00,
500087,CIPLA LTD.  ,A ,Q,1011.55,1018.10,1002.75,1010.65,1010.65,1011.55,3033,39706,40111978.00,
500089,DIC INDIA   ,B ,Q,430.20,433.00,419.25,423.25,419.35,424.25,87,881,373679.00,
500092,CRISIL LTD  ,A ,Q,3895.00,3973.45,3895.00,3950.95,3951.80,3915.20,222,821,3232786.00,
500093,CGPOWER     ,A ,Q,365.15,370.25,363.40,366.75,366.40,363.70,1091,61898,22630837.00,
500096,DABUR (I)   ,A ,Q,565.10,572.50,563.00,571.80,572.50,569.20,2796,41551,23588872.00,
500097,DALMIASUG   ,A ,Q,365.30,367.70,359.15,366.25,367.00,363.95,394,5122,1863773.00,
500101,ARVIND Ltd  ,A ,Q,130.80,133.50,130.80,131.80,131.80,131.80,763,32679,4325668.00,
500102,BALARPUR IND,Z ,Q,0.85,0.85,0.85,0.85,0.85,0.81,65,664768,565052.00,
500103,BHEL        ,A ,Q,86.93,88.38,86.00,87.94,87.94,87.35,6928,1390969,121363963.00,
500104,HIND.PETRO  ,A ,Q,271.05,273.45,268.80,272.95,272.95,272.85,1750,91687,24873757.00,
500106,IFCI LTD    ,A ,Q,12.15,12.89,12.08,12.79,12.79,12.15,4161,7113586,88677760.00,
500108,MAHA.TELE   ,B ,Q,20.25,20.85,20.25,20.60,20.59,20.43,979,1699906,35008000.00,
500109,MRPL        ,A ,Q,78.71,79.50,75.01,75.75,75.75,78.70,5066,1413348,108382030.00,
500110,CHENNAI PET.,A ,Q,395.95,395.95,385.30,388.15,388.15,392.30,1033,44143,17137968.00,
500111,REL.CAP.    ,T ,Q,9.00,9.30,8.80,9.11,9.18,9.02,325,137909,1255494.00,
500112,STATE BANK  ,A ,Q,568.80,569.30,562.60,567.40,567.40,568.80,8409,212196,119999939.00,
500113,STEEL AUTH. ,A ,Q,85.70,87.05,85.35,85.94,85.94,85.90,7174,1208143,104271773.00,
500114,TITAN       ,A ,Q,2971.05,2987.35,2947.65,2968.80,2968.80,2969.55,3991,52740,156289672.00,
500116,IDBI BANK L ,A ,Q,54.98,54.98,54.10,54.50,54.50,54.62,1230,340685,18530072.00,
500117,DCW LTD.    ,B ,Q,43.14,43.50,42.14,42.41,42.41,42.91,892,335761,14340485.00,
500119,DHAMPUR SUGA,A ,Q,271.00,277.00,268.00,273.60,273.90,269.85,1465,47800,13011888.00,
500120,DIAMINES&CHM,X ,Q,640.00,640.00,626.45,634.70,634.70,642.50,348,7907,5019904.00,
500123,ELANTAS     ,B ,Q,6462.65,6462.65,6350.15,6357.40,6355.00,6384.65,36,76,484767.00,
