SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,2020.00,2052.00,1982.30,2040.05,2039.45,2047.70,1377,12109,24350396.00,
500003,AEGIS LOGIS ,A ,Q,201.35,203.80,200.10,201.90,201.90,201.70,692,28977,5854843.00,
500008,AMAR RAJA BA,A ,Q,570.30,576.00,565.20,567.75,567.75,577.35,3881,67483,38550864.00,
500009,A.SARABHAI  ,X ,Q,32.95,33.35,32.60,32.85,32.85,33.10,433,158829,5234170.00,
500010,HDFC        ,A ,Q,2321.00,2356.30,2304.95,2310.90,2310.90,2346.20,6727,61000,141940415.00,
500012,ANDHRA PETRO,B ,Q,101.00,101.35,99.20,99.85,100.05,101.75,1272,151255,15126664.00,
500013,ANSAL INFRAS,B ,Q,15.25,15.25,15.25,15.25,15.25,14.55,64,127093,1938168.00,
500014,UTIQUE      ,XT,Q,6.06,6.06,6.06,6.06,6.06,6.37,226,39661,240345.00,
500016,ARUNAHTEL   ,X ,Q,9.88,9.88,9.13,9.24,9.15,9.47,30,5975,55770.00,
500020,BOM DYEING  ,A ,Q,99.10,100.20,98.90,99.25,99.25,99.00,2006,219576,21864680.00,
500023,ASIANHOTNR  ,B ,Q,78.05,79.00,77.55,78.25,77.70,78.35,27,495,38656.00,
500027,ATUL LTD.   ,A ,Q,9749.80,9934.70,9645.20,9884.80,9847.30,9683.25,629,1367,13369143.00,
500028,ATV PROJECTS,XT,Q,9.99,9.99,9.40,9.40,9.40,9.89,95,29927,281352.00,
500031,BAJAJ ELECT.,A ,Q,1060.15,1083.10,1051.00,1061.70,1051.20,1060.15,928,5325,5692214.00,
500032,BAJAJHIND   ,A ,Q,15.08,15.25,14.98,15.02,15.02,15.14,997,807578,12183756.00,
500033,FORCE MOTR  ,A ,Q,1048.25,1086.00,1048.25,1078.35,1085.00,1071.30,1031,4653,5008796.00,
500034,BAJFINANCE  ,A ,Q,6970.00,7033.80,6883.20,6998.15,6998.15,6998.15,3134,20824,145449145.00,
500038,BALRAM.CHINI,A ,Q,496.85,502.75,487.00,489.70,491.70,494.20,2212,81834,40383205.00,
500039,BANCO PROD. ,B ,Q,143.55,144.25,139.45,140.15,140.25,143.20,572,18188,2571683.00,
500040,CENTURY TEXT,A ,Q,839.00,870.00,839.00,864.80,861.80,833.40,1303,13915,11922900.00,
500041,BANNARI AMAN,A ,Q,2427.50,2427.60,2282.45,2296.75,2295.95,2398.00,246,971,2271354.00,
500042,BASF INDIA  ,A ,Q,2900.05,2989.00,2900.05,2929.30,2933.00,2959.90,444,2167,6390908.00,
