SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,B ,Q,1123.00,1160.00,1050.35,1071.15,1071.15,1122.00,1751,18735,20702948.00,
500003,AEGIS LOGIS ,A ,Q,224.50,227.30,219.00,223.10,223.10,222.10,1000,10209,2276037.00,
500008,AMAR RAJA BA,A ,Q,864.60,878.15,863.20,872.80,876.00,859.30,3050,81690,71200238.00,
500009,A.SARABHAI  ,X ,Q,20.00,20.30,19.00,20.20,20.25,19.40,184,65464,1309450.00,
500010,HDFC        ,A ,Q,2340.00,2345.00,2229.05,2250.80,2250.80,2333.75,10665,135002,305201270.00,
500012,ANDHRA PETRO,X ,Q,36.90,37.05,36.00,37.05,37.05,35.30,366,147029,5431892.00,
500013,ANSAL INFRAS,B ,Q,4.04,4.26,3.98,4.08,4.08,4.18,110,17947,71936.00,
500014,UTIQUE      ,X ,Q,1.21,1.21,1.11,1.11,1.11,1.10,12,53240,64410.00,
500016,ARUNAHTEL   ,XT,Q,6.35,6.35,6.05,6.35,6.35,6.05,3,351,2198.00,
500020,BOM DYEING  ,A ,Q,69.55,70.80,68.20,69.35,69.35,68.20,2269,212455,14751681.00,
500023,ASIANHOTNR  ,B ,Q,57.45,57.45,54.00,54.50,55.05,57.50,83,1609,88679.00,
500027,ATUL LTD.   ,A ,Q,6660.00,6660.00,6380.00,6399.20,6399.20,6526.95,461,1119,7236604.00,
500028,ATV PROJECTS,XT,Q,4.70,4.83,4.37,4.83,4.83,4.60,49,19521,94216.00,
500029,AUTOLITE(I) ,B ,Q,19.65,20.00,19.40,19.40,19.40,19.65,17,1160,23087.00,
500031,BAJAJ ELECT.,A ,Q,572.50,575.00,543.30,552.55,553.85,567.75,918,10534,5926599.00,
500032,BAJAJHIND   ,B ,Q,4.50,4.99,4.50,4.92,4.92,4.51,922,904290,4358795.00,
500033,FORCE MOTR  ,A ,Q,1185.95,1214.80,1164.25,1174.50,1174.50,1176.35,1537,10993,13122672.00,
500034,BAJFINANCE  ,A ,Q,4780.00,4868.30,4735.00,4809.65,4809.65,4717.75,39281,383366,1842107880.00,
500038,BALRAM.CHINI,A ,Q,153.25,156.00,153.25,155.60,155.60,152.60,3396,123526,19168915.00,
500039,BANCO PROD. ,B ,Q,117.70,122.40,117.70,120.45,120.30,118.75,874,38242,4615864.00,
500040,CENTURY TEXT,A ,Q,331.00,338.00,330.70,332.75,332.75,331.05,680,21443,7160828.00,
500041,BANNARI AMAN,B ,Q,1315.00,1315.00,1315.00,1315.00,1315.00,1307.70,1,1,1315.00,
500042,BASF INDIA  ,A ,Q,1551.50,1610.00,1533.50,1588.30,1588.30,1543.90,1524,10240,16220083.00,
500043,BATA INDIA  ,A ,Q,1490.00,1507.80,1461.00,1504.00,1500.85,1476.30,3028,30439,45260972.00,
500048,BEML LTD    ,A ,Q,665.00,674.30,662.85,670.90,670.90,655.85,1770,28276,18899557.00,
500049,BHARAT ELECT,A ,Q,108.80,109.00,104.55,105.80,105.80,108.20,4131,559642,59241361.00,
500052,BHANSALI ENG,B ,Q,107.00,107.85,104.50,106.60,107.20,106.10,1078,59270,6313095.00,
500055,TATASTLBSL  ,B ,Q,33.05,33.25,32.65,33.05,33.05,32.45,622,200480,6619432.00,
500058,BIHAR SPONGE,XT,Q,1.48,1.48,1.48,1.48,1.48,1.46,7,17700,26196.00,
500060,BIRLACABLE  ,B ,Q,50.35,51.30,49.15,50.65,50.85,50.35,347,14926,748828.00,
500067,BLUE STAR   ,A ,Q,728.65,763.60,723.85,760.90,762.05,744.90,651,8303,6309086.00,
500068,DISA INDIA  ,X ,Q,3702.00,3702.00,3536.00,3647.15,3610.00,3594.35,34,136,497805.00,
500069,BNK CAPITAL ,X ,Q,77.75,77.75,71.50,72.00,71.50,73.00,20,1047,77350.00,
500074,BPL LTD.    ,B ,Q,20.10,22.65,20.00,22.50,22.40,20.60,651,113247,2503264.00,
500078,OAL         ,B ,Q,518.00,525.25,507.00,517.90,514.00,493.40,531,4208,2181020.00,
500083,CENTURY EXT ,B ,Q,3.55,3.71,3.55,3.62,3.62,3.61,19,12270,44558.00,
500084,CESC LTD.   ,A ,Q,571.50,577.00,570.80,574.50,574.50,572.10,707,7297,4185276.00,
500085,CHAMBAL FERT,A ,Q,187.10,189.15,183.85,185.75,185.35,186.15,1564,53187,9908721.00,
500086,EXIDE IND.  ,A ,Q,173.20,175.50,173.00,173.65,173.65,171.75,2392,166146,28968812.00,
500087,CIPLA LTD.  ,A ,Q,741.00,758.10,739.55,746.10,746.10,739.90,14923,513867,386145739.00,
500089,DIC INDIA   ,B ,Q,368.20,373.80,367.30,372.00,372.00,369.00,94,2758,1019456.00,
500092,CRISIL LTD  ,A ,Q,2011.45,2026.45,1978.30,1991.10,1994.05,1999.60,121,356,709116.00,
500093,CGPOWER     ,B ,Q,35.40,36.00,35.40,36.00,36.00,34.30,509,442784,15924766.00,
