SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1875.00,1902.10,1867.00,1870.20,1869.90,1871.90,394,4195,7937194.00,
500003,AEGIS LOGIS ,A ,Q,246.15,249.30,238.50,239.05,239.00,244.35,1860,29925,7242646.00,
500008,AMAR RAJA BA,A ,Q,725.20,742.60,725.20,735.80,735.80,727.80,4513,109786,80916089.00,
500009,A.SARABHAI  ,X ,Q,33.05,33.60,32.15,32.35,32.35,33.05,1179,284512,9308350.00,
500010,HDFC        ,A ,Q,2775.50,2775.50,2717.60,2733.05,2733.05,2773.55,5388,101968,278846045.00,
500012,ANDHRA PETRO,XT,Q,135.00,140.95,127.55,140.95,140.95,134.25,1581,359232,48620818.00,
500013,ANSAL INFRAS,B ,Q,8.91,9.24,8.55,9.06,9.05,8.89,87,13449,119258.00,
500014,UTIQUE      ,X ,Q,2.85,2.85,2.64,2.74,2.74,2.76,101,67755,186208.00,
500016,ARUNAHTEL   ,XT,Q,16.39,16.39,15.00,16.39,16.39,15.61,47,18561,301931.00,
500020,BOM DYEING  ,A ,Q,91.90,95.55,90.75,94.00,93.55,90.75,2889,499792,46712210.00,
500023,ASIANHOTNR  ,B ,Q,95.95,95.95,86.10,89.40,89.20,90.50,435,14487,1301801.00,
500027,ATUL LTD.   ,A ,Q,9316.20,9526.75,9316.20,9454.05,9445.00,9399.20,434,11004,103598741.00,
500028,ATV PROJECTS,XT,Q,8.90,8.90,8.10,8.22,8.40,8.50,59,18008,150649.00,
500031,BAJAJ ELECT.,A ,Q,1537.00,1562.00,1502.15,1517.15,1507.60,1518.40,836,10897,16738832.00,
500032,BAJAJHIND   ,T ,Q,14.55,15.25,14.55,14.91,14.91,14.99,883,351163,5254188.00,
500033,FORCE MOTR  ,A ,Q,1474.00,1496.20,1451.50,1460.35,1460.35,1459.10,621,4711,6953889.00,
500034,BAJFINANCE  ,A ,Q,7850.00,7896.00,7773.50,7790.75,7786.00,7810.60,6679,44363,347320063.00,
500038,BALRAM.CHINI,A ,Q,349.00,349.50,343.40,345.90,345.90,343.80,1315,33644,11632607.00,
500039,BANCO PROD. ,B ,Q,198.50,204.60,197.10,204.05,204.50,198.45,1125,48281,9736413.00,
500040,CENTURY TEXT,A ,Q,833.00,923.70,833.00,909.35,909.35,843.50,6242,147167,130630891.00,
500041,BANNARI AMAN,A ,Q,2205.00,2232.00,2152.00,2222.65,2220.00,2199.40,93,726,1600650.00,
500042,BASF INDIA  ,A ,Q,3342.05,3455.85,3342.05,3396.70,3403.40,3346.40,519,2776,9469313.00,
500043,BATA INDIA  ,A ,Q,1770.75,1806.00,1765.05,1797.55,1797.55,1770.75,1182,15992,28548974.00,
500048,BEML LTD    ,A ,Q,1400.00,1429.00,1384.05,1406.45,1404.60,1390.45,657,7159,10094224.00,
500049,BHARAT ELECT,A ,Q,204.50,206.80,203.80,205.60,205.60,204.55,2808,202805,41664795.00,
500052,BHANSALI ENG,A ,Q,181.50,192.80,179.45,190.70,192.00,176.00,3025,311954,58783284.00,
500055,TATASTLBSL  ,T ,Q,86.40,87.00,84.15,86.00,86.00,84.75,1787,169708,14549802.00,
500058,BIHAR SPONGE,XT,Q,10.41,11.19,10.41,10.86,11.12,10.85,137,16539,181383.00,
500060,BIRLACABLE  ,T ,Q,96.35,96.35,90.00,91.80,91.00,91.80,339,33380,3165749.00,
500067,BLUE STAR   ,A ,Q,835.10,854.00,835.10,849.75,852.00,833.70,498,3294,2790148.00,
500068,DISA INDIA  ,X ,Q,5575.05,5725.00,5575.05,5665.50,5661.95,5639.55,19,67,378273.00,
500069,BNK CAPITAL ,X ,Q,214.95,214.95,207.20,210.00,210.00,212.50,28,1920,402592.00,
500074,BPL LTD.    ,T ,Q,89.50,89.50,89.50,89.50,89.50,85.25,188,18096,1619592.00,
500078,OAL         ,B ,Q,952.00,980.00,952.00,966.30,961.35,959.05,448,3263,3164845.00,
500083,CENTURY EXT ,B ,Q,9.27,9.50,9.10,9.34,9.35,9.25,134,47595,439815.00,
500084,CESC LTD.   ,A ,Q,89.40,90.00,85.60,85.95,85.95,88.85,8508,704391,61200020.00,
