TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-10-15,2024-10-15,CM,BSE,STK,543154,INF204KB18S2,08QPR,B,,,,,Nippon India Mutual Fund,0.26,0.26,0.26,0.26,0.26,0.24,,0.26,,,1,0.00,1,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,543161,INF204KB14P7,10AGG,F,,,,,Nippon India Mutual Fund,503.28,503.28,503.28,503.28,503.28,457.53,,503.28,,,847,426278.00,42,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,543165,INF204KB17P0,10ARD,F,,,,,Nippon India Mutual Fund,251.50,268.00,251.50,266.99,266.99,251.47,,266.99,,,365,94891.00,36,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,543167,INF204KB19P6,10GPG,F,,,,,Nippon India Mutual Fund,1.48,1.48,1.48,1.48,1.48,1.35,,1.48,,,39957,59136.00,7,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,543171,INE0BDU01028,ROJL,B,,,,,RO Jewels Limited,3.40,3.40,3.28,3.33,3.35,3.31,,3.33,,,209801,698769.00,350,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,543172,INE0CQB01010,COSPOWER,MT,,,,,Cospower Engineering Limited,535.00,537.00,508.25,508.25,508.25,535.00,,508.25,,,2000,1047625.00,4,F1,500,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,543173,INF204KB14U7,11DPR,B,,,,,Nippon India Mutual Fund,21.81,21.81,20.82,21.81,21.81,19.83,,21.81,,,2835,61732.00,23,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,543174,INF204KB10U5,11GPG,B,,,,,Nippon India Mutual Fund,1.87,1.87,1.87,1.87,1.87,1.70,,1.87,,,63714,119145.00,43,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,543175,INF204KB15U4,11MPD,B,,,,,Nippon India Mutual Fund,3.28,3.28,3.11,3.28,3.28,2.99,,3.28,,,84136,275754.00,95,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,543176,INF204KB16U2,11MPR,B,,,,,Nippon India Mutual Fund,131.35,155.90,131.35,131.35,131.35,145.90,,131.35,,,5680,752546.00,141,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,543177,INF204KB11U3,11QPD,B,,,,,Nippon India Mutual Fund,7.92,7.92,7.92,7.92,7.92,7.20,,7.92,,,11427,90501.00,29,F1,1,,,,,
