SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,2607.75,2626.60,2578.20,2599.15,2597.40,2591.10,1275,8585,22301242.00,
500003,AEGIS LOGIS ,A ,Q,206.00,214.40,206.00,211.50,211.50,207.35,1868,57924,12286749.00,
500008,AMAR RAJA BA,A ,Q,480.50,484.00,474.60,475.90,475.90,478.30,2333,34442,16505127.00,
500009,A.SARABHAI  ,X ,Q,31.30,31.30,30.50,30.65,30.65,30.90,320,91985,2843533.00,
500010,HDFC        ,A ,Q,2237.00,2252.25,2223.95,2229.40,2225.20,2217.05,4101,82604,185427954.00,
500012,ANDHRA PETRO,B ,Q,82.95,85.00,82.85,83.50,83.50,81.70,973,123569,10315516.00,
500013,ANSAL INFRAS,B ,Q,18.19,18.74,18.06,18.31,18.38,17.85,113,67515,1240426.00,
500014,UTIQUE      ,X ,Q,5.15,5.30,5.15,5.27,5.28,5.19,181,36824,192943.00,
500016,ARUNAHTEL   ,X ,Q,14.05,14.05,12.80,12.81,12.80,13.00,48,2670,34383.00,
500020,BOM DYEING  ,A ,Q,100.25,103.40,98.95,101.15,100.65,98.85,3712,269600,27355080.00,
500023,ASIANHOTNR  ,B ,Q,82.70,88.70,82.05,84.35,84.35,82.30,299,10815,942537.00,
500027,ATUL LTD.   ,A ,Q,8361.90,8470.45,8248.10,8255.90,8258.00,8399.50,554,873,7311392.00,
500028,ATV PROJECTS,XT,Q,8.80,8.89,8.46,8.75,8.80,8.75,30,7064,60760.00,
500031,BAJAJ ELECT.,A ,Q,1145.00,1147.50,1129.35,1133.10,1133.45,1134.60,844,5199,5921223.00,
500032,BAJAJHIND   ,A ,Q,12.04,12.26,12.04,12.12,12.12,12.02,2221,1628923,19788763.00,
500033,FORCE MOTR  ,A ,Q,1017.55,1043.30,1013.25,1015.70,1019.20,1002.65,905,3099,3178871.00,
500034,BAJFINANCE  ,A ,Q,6150.00,6150.00,6038.90,6070.30,6070.30,6062.50,3567,22090,134747895.00,
500038,BALRAM.CHINI,A ,Q,374.90,381.45,371.05,376.60,376.60,369.40,2206,73704,27780202.00,
500039,BANCO PROD. ,B ,Q,181.30,186.40,179.60,183.30,183.00,180.20,3453,51752,9434404.00,
500040,CENTURY TEXT,A ,Q,801.70,801.70,780.00,781.90,781.90,789.05,681,4903,3870641.00,
500041,BANNARI AMAN,A ,Q,2207.85,2247.60,2202.00,2237.25,2241.00,2190.30,44,110,246327.00,
500042,BASF INDIA  ,A ,Q,2721.80,2750.75,2672.75,2689.75,2675.70,2717.05,357,904,2445110.00,
500043,BATA INDIA  ,A ,Q,1831.80,1868.75,1813.95,1819.30,1814.55,1823.40,1427,8688,15983984.00,
500048,BEML LTD    ,A ,Q,1339.10,1374.90,1339.05,1347.90,1352.10,1331.10,1670,13307,18048011.00,
500049,BHARAT ELECT,A ,Q,258.00,258.45,253.00,254.85,254.85,255.10,3305,131986,33765871.00,
500052,BHANSALI ENG,A ,Q,106.80,109.50,106.80,108.20,108.50,106.45,571,14847,1612843.00,
500058,BIHAR SPONGE,XT,Q,8.72,9.10,8.30,9.01,9.09,8.72,89,20223,176013.00,
500060,BIRLACABLE  ,B ,Q,131.15,135.10,128.10,129.05,128.95,129.75,627,14339,1900783.00,
500067,BLUE STAR   ,A ,Q,1038.00,1038.00,982.00,996.75,996.75,1025.95,1301,5896,5935199.00,
500068,DISA INDIA  ,X ,Q,6765.95,6765.95,6475.00,6645.00,6625.05,6643.35,65,210,1385041.00,
500069,QUESTCAP    ,X ,Q,251.00,251.00,239.50,240.00,240.00,240.65,37,1506,362135.00,
500074,BPL LTD.    ,B ,Q,71.75,71.75,67.25,67.65,68.00,69.20,243,16668,1135012.00,
500078,OAL         ,B ,Q,588.00,588.00,550.15,555.55,559.35,557.65,77,660,367120.00,
500083,CENTURY EXT ,B ,Q,9.67,9.67,9.40,9.54,9.43,9.37,43,10741,101716.00,
500084,CESC LTD.   ,A ,Q,75.50,75.80,74.65,74.80,74.80,75.15,1780,62712,4702998.00,
500085,CHAMBAL FERT,A ,Q,304.50,318.60,304.50,314.15,314.15,303.20,3262,149636,47089279.00,
500086,EXIDE IND.  ,A ,Q,152.80,152.80,149.50,150.35,150.35,150.60,1231,59344,8960259.00,
500087,CIPLA LTD.  ,A ,Q,962.55,983.00,960.05,981.60,981.60,960.65,2970,44032,42946357.00,
500089,DIC INDIA   ,B ,Q,369.00,369.00,362.10,363.60,363.60,366.50,4,5,1829.00,
