SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1315.00,1315.00,1288.90,1296.90,1288.90,1313.05,466,4714,6138658.00,
500003,AEGIS LOGIS ,A ,Q,258.25,266.15,257.15,261.35,260.50,258.25,2188,42614,11165860.00,
500008,AMAR RAJA BA,A ,Q,1009.00,1009.00,987.55,993.90,994.70,1002.10,2523,68114,67868817.00,
500009,A.SARABHAI  ,X ,Q,24.30,24.30,22.75,22.90,22.75,23.80,227,40088,925747.00,
500010,HDFC        ,A ,Q,2690.00,2762.55,2667.35,2751.65,2751.65,2653.40,14354,152062,412145717.00,
500012,ANDHRA PETRO,X ,Q,61.75,63.00,58.60,59.45,59.50,61.65,1042,231460,13872376.00,
500013,ANSAL INFRAS,T ,Q,10.80,10.80,10.80,10.80,10.80,11.36,26,2953,31892.00,
500014,UTIQUE      ,X ,Q,2.68,2.68,2.68,2.68,2.68,2.56,59,28834,77275.00,
500016,ARUNAHTEL   ,XT,Q,6.90,7.60,6.89,6.89,6.89,7.25,13,1198,8559.00,
500020,BOM DYEING  ,A ,Q,82.45,83.40,80.05,80.50,80.50,81.15,2239,410338,33371393.00,
500023,ASIANHOTNR  ,B ,Q,76.00,76.30,75.10,75.10,75.10,74.95,29,203,15434.00,
500027,ATUL LTD.   ,A ,Q,6745.00,6745.00,6520.00,6534.95,6559.00,6638.65,406,1544,10209052.00,
500028,ATV PROJECTS,XT,Q,6.80,6.80,6.48,6.80,6.80,6.48,99,61023,411771.00,
500029,AUTOLITE(I) ,B ,Q,24.45,29.15,23.80,29.15,29.15,24.30,477,52770,1475813.00,
500031,BAJAJ ELECT.,A ,Q,670.00,712.00,663.65,704.80,707.10,667.25,3226,60611,41944850.00,
500032,BAJAJHIND   ,A ,Q,6.89,6.96,6.55,6.71,6.71,6.87,1029,613699,4099111.00,
500033,FORCE MOTR  ,A ,Q,1383.00,1398.00,1348.00,1376.70,1376.70,1365.45,859,8701,11972505.00,
500034,BAJFINANCE  ,A ,Q,5124.00,5124.00,4961.00,4984.15,4984.15,5080.70,8559,90124,451037280.00,
500038,BALRAM.CHINI,A ,Q,170.00,178.00,170.00,177.70,177.70,172.05,3092,205637,36107328.00,
500039,BANCO PROD. ,B ,Q,142.10,143.15,138.60,139.80,139.80,142.60,451,27105,3811392.00,
500040,CENTURY TEXT,A ,Q,416.30,434.00,411.00,429.30,429.30,416.60,3653,141910,60264807.00,
500041,BANNARI AMAN,A ,Q,1485.00,1485.00,1485.00,1485.00,1485.00,1475.05,32,50,74250.00,
