SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,2279.00,2346.90,2272.15,2339.60,2342.00,2278.75,1658,9837,22757587.00,
500003,AEGIS LOGIS ,A ,Q,214.05,217.90,212.45,214.35,214.35,213.95,1696,36208,7758641.00,
500008,AMAR RAJA BA,A ,Q,635.55,639.15,633.00,634.35,635.35,635.55,1292,23117,14695214.00,
500009,A.SARABHAI  ,X ,Q,37.45,39.65,36.35,37.80,37.80,37.10,2596,760954,28709899.00,
500010,HDFC        ,A ,Q,2662.00,2728.85,2662.00,2710.65,2710.65,2660.05,9926,103178,278999523.00,
500012,ANDHRA PETRO,B ,Q,133.05,133.05,130.10,133.05,133.05,126.75,2285,445389,59112275.00,
500013,ANSAL INFRAS,B ,Q,13.65,13.75,12.90,13.40,13.40,13.35,231,44091,597243.00,
500014,UTIQUE      ,XT,Q,9.73,9.73,9.73,9.73,9.73,10.24,314,98931,962598.00,
500016,ARUNAHTEL   ,XT,Q,9.00,9.00,8.56,8.97,8.96,8.69,78,49009,433716.00,
500020,BOM DYEING  ,A ,Q,114.40,121.15,113.40,116.15,116.15,115.10,11139,1364308,160706267.00,
500023,ASIANHOTNR  ,B ,Q,80.95,83.45,80.70,80.70,80.70,81.95,24,352,28771.00,
500027,ATUL LTD.   ,A ,Q,9544.75,9761.25,9466.65,9694.35,9675.00,9527.75,608,1415,13629705.00,
500028,ATV PROJECTS,XT,Q,13.70,13.70,12.80,12.91,13.10,13.23,224,75920,998697.00,
500031,BAJAJ ELECT.,A ,Q,1255.05,1255.05,1230.00,1235.20,1234.00,1254.65,1667,10960,13577321.00,
500032,BAJAJHIND   ,A ,Q,17.25,17.35,16.35,16.35,16.35,17.20,7426,3732746,62688335.00,
500033,FORCE MOTR  ,A ,Q,1290.00,1319.40,1269.00,1310.70,1307.00,1272.65,1809,11893,15417270.00,
500034,BAJFINANCE  ,A ,Q,7715.00,7745.30,7573.00,7669.05,7659.80,7728.75,4811,26553,203164739.00,
500038,BALRAM.CHINI,A ,Q,422.20,425.55,416.65,419.50,419.35,419.65,1869,66687,28075739.00,
500039,BANCO PROD. ,B ,Q,195.90,195.90,188.35,188.85,190.30,192.45,461,10746,2041955.00,
500040,CENTURY TEXT,A ,Q,965.00,1005.95,960.80,996.90,993.95,960.10,5109,80472,79615678.00,
500041,BANNARI AMAN,A ,Q,2819.50,2881.20,2776.30,2805.55,2814.00,2849.25,148,627,1768574.00,
500042,BASF INDIA  ,A ,Q,2970.90,3217.45,2970.90,3177.80,3177.80,2958.40,2789,11546,36445763.00,
500043,BATA INDIA  ,A ,Q,1925.00,1938.20,1907.25,1921.45,1921.45,1917.15,2275,19982,38449826.00,
500048,BEML LTD    ,A ,Q,1875.00,1906.30,1827.10,1890.45,1889.05,1851.45,2521,14945,27858268.00,
500049,BHARAT ELECT,A ,Q,211.35,212.00,208.65,210.40,210.40,211.25,3235,154556,32447012.00,
500052,BHANSALI ENG,A ,Q,178.90,178.90,174.40,174.90,174.90,177.00,1150,30683,5389655.00,
500058,BIHAR SPONGE,XT,Q,14.73,14.73,14.73,14.73,14.73,14.03,85,35880,528512.00,
500060,BIRLACABLE  ,B ,Q,107.95,110.90,105.20,105.55,105.50,108.00,859,32712,3519438.00,
500067,BLUE STAR   ,A ,Q,981.95,1000.00,978.85,980.80,978.85,988.20,1649,6292,6223029.00,
500068,DISA INDIA  ,X ,Q,5900.00,5975.00,5840.00,5933.20,5950.00,5904.10,104,962,5686996.00,
500069,BNK CAPITAL ,X ,Q,265.00,279.40,261.05,274.85,274.85,259.65,121,4323,1179350.00,
500074,BPL LTD.    ,B ,Q,72.40,72.40,69.20,69.60,69.70,69.95,464,23534,1642935.00,
500078,OAL         ,B ,Q,838.35,845.50,796.80,810.55,827.00,830.05,296,1104,908178.00,
500083,CENTURY EXT ,B ,Q,14.99,14.99,14.07,14.07,14.07,14.81,610,236233,3357059.00,
500084,CESC LTD.   ,A ,Q,89.75,92.50,89.75,91.85,91.85,90.00,3984,371470,34075964.00,
500085,CHAMBAL FERT,A ,Q,438.95,438.95,421.80,425.80,426.50,432.65,2079,77945,33285939.00,
500086,EXIDE IND.  ,A ,Q,171.25,172.00,169.85,170.20,170.20,171.25,1791,107978,18434448.00,
500087,CIPLA LTD.  ,A ,Q,916.00,921.90,913.20,915.30,915.30,916.35,2805,53137,48758414.00,
500089,DIC INDIA   ,B ,Q,392.00,411.00,392.00,405.10,405.10,406.95,88,1317,534207.00,
500092,CRISIL LTD  ,A ,Q,2850.00,2893.15,2831.40,2881.45,2875.05,2831.30,644,1622,4658300.00,
500093,CGPOWER     ,B ,Q,193.00,195.70,191.40,192.35,192.35,195.00,1272,93064,17972347.00,
500096,DABUR (I)   ,A ,Q,590.00,590.45,582.90,586.55,587.90,588.95,842,18706,10978165.00,
500097,DALMIASUG   ,A ,Q,427.90,429.10,418.00,420.40,420.80,423.05,1309,11297,4762778.00,
500101,ARVIND Ltd  ,A ,Q,136.00,136.40,131.80,132.80,132.80,134.60,3756,239755,32288268.00,
500103,BHEL        ,A ,Q,62.85,63.35,61.45,61.90,61.90,62.60,5962,1964747,122727471.00,
500104,HIND.PETRO  ,A ,Q,328.00,328.00,318.00,318.55,319.30,326.20,1477,54901,17742193.00,
500106,IFCI LTD    ,A ,Q,17.20,17.40,16.65,16.75,16.75,17.15,4342,1755080,29780920.00,
500108,MAHA.TELE   ,A ,Q,34.20,34.50,32.75,32.85,32.85,34.30,4594,1032581,34544811.00,
500109,MRPL        ,A ,Q,44.80,45.65,44.55,44.65,44.65,44.90,1105,125710,5658690.00,
500110,CHENNAI PET.,A ,Q,107.55,107.55,101.25,104.60,104.60,106.10,1407,46304,4875951.00,
500111,REL.CAP.    ,B ,Q,15.79,16.17,15.40,15.51,15.51,15.85,1391,775211,12219947.00,
500112,STATE BANK  ,A ,Q,503.00,507.95,499.35,505.95,505.95,503.55,12914,744196,375129034.00,
500113,STEEL AUTH. ,A ,Q,109.40,109.40,104.25,104.45,104.45,109.75,51924,6429719,678062112.00,
500114,TITAN       ,A ,Q,2641.10,2678.85,2637.30,2651.20,2653.20,2657.35,2905,24337,64774234.00,
500116,IDBI BANK L ,A ,Q,51.90,52.25,50.75,50.90,50.90,51.70,2748,1010252,52032460.00,
500117,DCW LTD.    ,B ,Q,45.45,46.05,44.35,44.45,44.45,45.45,1138,146975,6597999.00,
500119,DHAMPUR SUGA,A ,Q,339.15,343.90,332.30,334.35,335.30,339.55,1895,30017,10148229.00,
500120,DIAMINES&CHM,X ,Q,292.70,304.00,284.00,285.50,285.50,285.20,661,46570,13659185.00,
500123,ELANTAS     ,B ,Q,3591.05,3660.00,3591.05,3653.70,3649.00,3600.00,75,290,1056031.00,
500124,DR.REDDY'S  ,A ,Q,4720.00,4738.65,4660.20,4671.05,4671.05,4694.00,1107,5396,25383709.00,
500125,E.I.D.PAR   ,A ,Q,483.95,493.40,477.20,484.05,488.80,484.05,1378,23740,11541260.00,
500126,PGHL        ,A ,Q,5129.85,5171.45,5083.10,5158.20,5160.25,5109.70,235,440,2257125.00,
500128,ELEC.CASTING,B ,Q,36.25,36.45,35.35,36.20,36.20,35.80,1009,115830,4180273.00,
500133,ESAB INDIA  ,A ,Q,3422.90,3422.90,3345.00,3356.25,3382.00,3430.65,406,859,2900475.00,
500135,EPL         ,A ,Q,200.05,200.70,197.20,197.65,197.35,199.70,1598,24728,4908949.00,
500136,ESTER INDUS.,B ,Q,134.90,135.00,132.00,133.90,132.00,133.60,799,38486,5157202.00,
500142,FGP LTD.    ,X ,Q,5.69,5.69,5.69,5.69,5.69,5.42,7,2251,12808.00,
500143,P.H.CAPITAL ,X ,Q,210.05,210.05,210.05,210.05,210.05,200.05,118,8178,1717788.00,
500144,FINOL. CABLE,A ,Q,537.10,537.10,528.40,529.90,529.95,530.70,1303,9995,5309895.00,
500147,COCKERILL   ,X ,Q,1390.00,1430.00,1331.50,1414.30,1391.05,1353.10,371,6635,9213538.00,
500148,UFLEX LTD   ,A ,Q,516.85,522.90,510.00,513.30,513.25,514.55,751,6593,3413542.00,
500150,FOSECO INDIA,B ,Q,1439.60,1460.00,1439.60,1445.00,1445.00,1440.80,51,221,320038.00,
500151,GOLDEN TOB  ,B ,Q,120.05,120.05,117.75,117.95,117.95,119.00,64,945,112103.00,
500153,GANESH BENZO,B ,Q,103.60,103.60,101.05,102.00,102.00,103.05,912,42419,4332019.00,
500159,METROGLOBL  ,X ,Q,96.00,96.85,91.10,92.70,92.55,94.70,65,7091,664372.00,
500160,GTL LTD.    ,B ,Q,19.50,19.50,19.50,19.50,19.50,20.50,635,110037,2145721.00,
500163,GODFREY PH  ,A ,Q,1115.00,1157.60,1115.00,1144.60,1141.60,1125.35,627,5188,5939255.00,
500164,GODREJ IND  ,A ,Q,633.55,642.20,626.75,631.65,632.70,637.05,1179,9731,6162557.00,
500165,KANSAI NERO ,A ,Q,601.00,603.85,592.60,601.10,603.80,595.75,1023,14304,8584359.00,
500166,GOODRICKE   ,XT,Q,234.10,246.80,231.00,246.80,246.80,235.05,231,14043,3394992.00,
500168,GOODYEAR (I),B ,Q,1021.00,1021.00,985.00,994.05,995.00,981.35,93,856,848139.00,
500170,GTN INDUS   ,XT,Q,49.45,49.45,44.75,47.30,47.50,47.10,339,84076,3928099.00,
500171,GHCL LTD    ,A ,Q,401.00,401.00,382.40,383.95,383.50,394.40,1038,14521,5620601.00,
500173,GFLLIMITED  ,B ,Q,72.85,73.25,71.60,72.65,72.60,72.90,186,5614,408308.00,
500179,HCL INFOSYS ,B ,Q,27.20,27.20,26.05,27.20,27.20,25.95,2933,1421712,38473217.00,
500180,HDFC BANK   ,A ,Q,1564.00,1568.55,1548.00,1565.70,1565.70,1558.85,4358,98811,154183179.00,
500182,HEROMOTOCO  ,A ,Q,2571.35,2591.55,2561.70,2565.90,2565.90,2579.45,3013,23275,59938949.00,
500183,HFCL        ,A ,Q,87.10,87.40,84.15,84.45,84.45,86.90,12983,2123872,181753919.00,
500184,HSCL        ,A ,Q,51.50,51.70,49.90,50.45,50.45,50.70,6577,1160043,58946284.00,
500185,HIND.CONSTN.,A ,Q,16.20,16.30,15.65,15.65,15.65,16.45,5255,3818206,60086782.00,
500186,HIND.OIL EXP,A ,Q,234.00,235.05,218.20,220.00,218.20,231.75,3551,93821,21140706.00,
500187,HSIL        ,A ,Q,226.50,240.45,224.65,237.40,237.40,226.55,2554,38999,9182551.00,
500188,HINDUS.ZI   ,A ,Q,327.90,329.35,324.70,326.50,326.50,330.75,2882,64826,21198061.00,
500189,NXTDIGITAL  ,B ,Q,410.00,416.70,405.25,409.20,410.85,410.40,450,15224,6262067.00,
500191,HMT LTD.    ,Z ,Q,29.50,29.50,28.55,28.70,28.70,28.85,43,7021,201269.00,
500192,PRAG BOSIMI ,XT,Q,5.35,5.35,5.35,5.35,5.35,5.10,145,76393,408702.00,
500193,HLVLTD      ,T ,Q,11.00,11.34,10.75,11.34,11.34,10.80,374,160645,1793981.00,
500199,I.G.PETRO   ,B ,Q,745.00,747.70,722.40,726.05,726.55,739.75,982,4256,3134891.00,
500201,IND.GLYCOLS ,A ,Q,990.00,1002.00,972.30,976.95,972.30,982.05,900,5848,5750610.00,
500202,IND.LEAS.DEV,X ,Q,9.30,10.35,9.01,9.55,9.55,9.48,71,9860,93761.00,
500206,MARGO FIN   ,X ,Q,33.15,33.25,31.10,33.20,33.25,31.70,68,7285,236007.00,
500207,INDO RAMA   ,B ,Q,76.00,77.35,73.05,75.25,74.90,75.40,2454,163863,12335236.00,
500209,INFOSYS LTD ,A ,Q,1852.00,1869.95,1850.75,1856.05,1856.05,1851.10,11939,182510,339632418.00,
500210,INGERSOLL   ,A ,Q,1268.75,1280.45,1257.10,1273.15,1276.00,1252.70,816,3245,4131790.00,
500211,INSILCO LTD.,X ,Q,10.30,10.61,10.10,10.53,10.53,10.13,395,164137,1707076.00,
500213,INTER.TRAVEL,X ,Q,98.05,101.00,93.05,94.15,94.15,97.10,143,18996,1841523.00,
500214,ION EXCHANGE,A ,Q,2166.00,2218.55,2166.00,2178.65,2178.65,2185.40,1006,11283,24706137.00,
500215,AGRO TECH FO,A ,Q,962.50,976.85,947.20,972.60,975.00,969.80,234,715,691031.00,
500219,JAIN IRRIG  ,A ,Q,48.10,48.90,46.20,46.60,46.60,48.75,2814,430636,20401477.00,
500220,JASCH INDUST,X ,Q,154.80,154.80,139.00,143.15,143.15,153.10,974,41006,5935419.00,
500223,JCT LTD     ,XT,Q,7.89,8.00,7.38,7.95,7.95,7.62,10322,10643904,83572754.00,
500227,JINDAL POLYF,A ,Q,1058.30,1068.25,1037.90,1041.75,1038.30,1050.35,1065,5385,5666552.00,
500228,JSWSL       ,A ,Q,666.00,668.15,643.60,646.10,646.10,671.75,5424,194020,126682795.00,
500231,UMANG DAIR  ,B ,Q,79.00,84.70,77.50,81.20,81.20,76.65,869,34234,2815883.00,
500233,KAJARIA CER.,A ,Q,1359.50,1361.75,1337.90,1348.90,1349.90,1337.05,1194,5233,7091000.00,
500234,KAKATIYA CEM,B ,Q,255.00,264.00,247.80,255.75,256.00,254.15,1164,17654,4570055.00,
500235,KALYANI STEL,A ,Q,342.65,343.00,337.00,339.45,339.30,342.20,519,10841,3692075.00,
500236,KANELIND    ,X ,Q,5.30,5.30,4.96,5.08,5.13,5.22,802,173122,877162.00,
500238,WHIRLPOOL   ,A ,Q,1867.00,1895.00,1846.85,1850.85,1847.00,1851.70,3469,21453,40031898.00,
500239,KG DENIM    ,X ,Q,64.95,65.00,62.00,62.90,62.90,62.75,147,19483,1239401.00,
500240,KINETIC ENG.,XT,Q,81.00,82.00,77.00,78.25,79.80,79.40,150,10333,817603.00,
500241,KIRL.BROS.  ,A ,Q,381.00,396.10,375.15,390.00,390.00,380.30,615,7805,3014488.00,
500243,KIRL INDUS  ,B ,Q,1524.75,1542.00,1494.70,1495.35,1498.40,1503.90,135,416,625724.00,
500245,KIRL.FERROUS,A ,Q,209.95,212.50,208.80,211.45,211.10,210.15,3063,53972,11388825.00,
500246,ENVAIN ELECT,X ,Q,31.40,31.45,31.35,31.35,31.35,33.00,20,924,28992.00,
500247,KOTAK MAH.BK,A ,Q,1942.00,1953.80,1920.00,1936.85,1938.10,1948.05,6077,75675,146657794.00,
500248,KRIFILIND   ,XT,Q,9.26,9.26,8.38,8.57,9.26,8.82,46,3064,27600.00,
500249,KSB         ,A ,Q,1252.50,1260.05,1237.45,1249.60,1245.00,1242.55,178,387,484050.00,
500250,L.G.BALKRISH,A ,Q,659.50,661.00,639.85,648.45,644.60,654.65,1227,26491,17232807.00,
500251,TRENT LTD.  ,A ,Q,1079.20,1124.00,1072.50,1119.55,1119.55,1068.75,2481,27234,30042580.00,
500252,LAXMIMACH   ,A ,Q,9622.10,9763.00,9563.45,9622.75,9632.90,9592.00,437,917,8866222.00,
500253,LIC HOUS.FIN,A ,Q,382.00,382.05,374.50,375.50,375.50,380.30,3311,100695,37902142.00,
500257,LUPIN LTD.  ,A ,Q,939.45,952.00,935.35,946.10,945.70,938.55,5178,92047,87045093.00,
500259,LYKA LABS   ,T ,Q,230.95,234.00,220.20,227.75,228.50,227.75,384,15003,3394971.00,
500260,RAMCOCEM    ,A ,Q,1042.65,1053.00,1011.40,1018.30,1025.00,1051.85,1872,56915,58247819.00,
500264,MAFATLAL IND,X ,Q,199.30,199.65,192.00,199.65,199.65,190.15,163,11186,2205246.00,
500265,MAH.SEAMLESS,A ,Q,554.90,558.35,543.65,547.15,545.00,557.90,940,12094,6631093.00,
500266,MAH.SCOOTER ,A ,Q,4054.85,4054.85,3981.60,3997.90,3994.70,4008.00,264,601,2408312.00,
500267,MAJESTIC AUT,X ,Q,139.70,141.35,137.55,139.05,139.60,137.70,127,12616,1760307.00,
500268,MANALI PETRO,T ,Q,125.40,125.45,120.00,125.25,125.25,119.50,2424,236018,29444788.00,
500271,MFSL        ,A ,Q,1060.35,1081.00,1048.50,1068.10,1060.90,1053.40,1763,18976,20333323.00,
