SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,3033.10,3134.10,3016.60,3125.35,3111.55,3033.10,2721,12908,39839044.00,
500003,AEGIS LOGIS ,A ,Q,316.85,324.50,315.50,319.75,319.95,320.90,1983,35445,11328723.00,
500008,AMAR RAJA BA,A ,Q,637.10,644.45,632.80,634.05,634.05,636.90,2157,67539,43151820.00,
500009,A.SARABHAI  ,X ,Q,28.20,28.20,27.40,27.55,27.55,27.80,399,108699,3012142.00,
500010,HDFC        ,A ,Q,2682.00,2705.00,2651.25,2659.10,2659.10,2696.45,3484,50226,134598481.00,
500012,ANDHRA PETRO,B ,Q,76.85,76.85,75.40,75.70,75.70,76.35,899,70135,5347590.00,
500013,ANSAL INFRAS,T ,Q,25.20,25.20,25.20,25.20,25.20,26.50,28,21954,553240.00,
500014,UTIQUE      ,XT,Q,8.00,8.00,7.45,7.55,7.59,7.71,133,34254,263153.00,
500016,ARUNAHTEL   ,X ,Q,16.75,16.75,15.75,16.45,16.60,15.90,30,8267,135363.00,
500020,BOM DYEING  ,A ,Q,82.90,83.05,81.40,81.85,81.85,82.90,1357,87061,7136984.00,
500023,ASIANHOTNR  ,B ,Q,86.65,89.90,86.65,87.25,88.20,87.95,5,607,52971.00,
500027,ATUL LTD.   ,A ,Q,8120.05,8160.60,8055.55,8091.15,8079.00,8145.60,637,1334,10816997.00,
500028,ATV PROJECTS,XT,Q,9.41,9.42,9.36,9.42,9.42,8.98,21,8139,76465.00,
500031,BAJAJ ELECT.,A ,Q,1111.20,1137.00,1108.15,1111.55,1111.50,1122.25,391,2089,2345652.00,
500032,BAJAJHIND   ,A ,Q,11.00,11.25,10.85,10.92,10.92,11.05,2096,1267969,13976711.00,
500033,FORCE MOTR  ,A ,Q,1561.25,1584.00,1526.60,1561.55,1553.65,1552.55,1663,9038,14148712.00,
500034,BAJFINANCE  ,A ,Q,6886.95,6950.00,6832.00,6892.45,6892.45,6891.85,3047,21236,146613220.00,
500038,BALRAM.CHINI,A ,Q,355.45,355.45,344.90,346.50,346.50,352.95,2930,101034,35349360.00,
500039,BANCO PROD. ,B ,Q,203.80,211.85,200.10,209.80,209.80,201.90,2893,77147,16101210.00,
500040,CENTURY TEXT,A ,Q,786.30,791.65,761.35,771.20,780.00,787.05,1026,6962,5371046.00,
500041,BANNARI AMAN,B ,Q,3079.00,3079.00,2975.30,3050.00,3050.00,3058.00,123,480,1461042.00,
500042,BASF INDIA  ,A ,Q,2645.00,2660.00,2590.80,2602.90,2610.40,2655.55,680,2198,5788931.00,
500043,BATA INDIA  ,A ,Q,1702.00,1702.00,1679.05,1683.30,1683.30,1700.00,2009,20878,35288167.00,
500048,BEML LTD    ,A ,Q,1506.70,1506.70,1481.00,1486.60,1482.00,1496.75,360,1464,2185312.00,
500049,BHARAT ELECT,A ,Q,108.40,111.30,108.05,110.60,110.60,108.30,15323,1730017,190386725.00,
500052,BHANSALI ENG,A ,Q,112.20,112.20,109.00,109.20,109.40,109.90,946,32098,3527090.00,
