SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,2245.50,2270.00,2195.10,2240.00,2270.00,2230.75,935,4473,9922407.00,
500003,AEGIS LOGIS ,A ,Q,227.40,228.95,215.95,218.05,218.05,224.45,2050,119591,26746989.00,
500008,AMAR RAJA BA,A ,Q,630.90,634.20,624.00,627.70,627.70,630.90,4042,53121,33327986.00,
500009,A.SARABHAI  ,X ,Q,29.25,29.75,28.85,29.00,29.00,29.15,513,100033,2918673.00,
500010,HDFC        ,A ,Q,2744.00,2754.90,2689.00,2700.50,2700.50,2720.65,2492,243837,669281883.00,
500012,ANDHRA PETRO,B ,Q,132.80,134.70,129.35,132.15,132.15,131.75,1613,273264,36186070.00,
500013,ANSAL INFRAS,T ,Q,14.80,14.80,13.66,13.66,13.66,14.37,107,24835,345175.00,
500014,UTIQUE      ,X ,Q,7.43,7.43,7.25,7.43,7.43,7.08,393,207935,1544347.00,
500016,ARUNAHTEL   ,XT,Q,9.45,9.54,9.01,9.08,9.30,9.29,60,18790,173051.00,
500020,BOM DYEING  ,A ,Q,106.40,107.95,101.25,102.30,102.30,105.60,5753,856077,88845085.00,
500023,ASIANHOTNR  ,B ,Q,77.65,77.65,72.10,74.95,75.50,74.00,73,3318,246856.00,
500027,ATUL LTD.   ,A ,Q,8623.00,8719.95,8525.00,8565.45,8588.00,8678.30,574,769,6603984.00,
500028,ATV PROJECTS,XT,Q,14.50,14.50,13.30,13.50,13.50,13.99,144,48284,652754.00,
500031,BAJAJ ELECT.,A ,Q,1273.00,1286.90,1219.30,1255.90,1253.00,1275.70,4339,52241,65215456.00,
500032,BAJAJHIND   ,A ,Q,14.66,14.85,14.08,14.26,14.26,14.62,2255,878844,12540191.00,
500033,FORCE MOTR  ,A ,Q,1322.95,1326.05,1292.50,1300.90,1300.90,1307.45,1024,8554,11237685.00,
500034,BAJFINANCE  ,A ,Q,6910.05,7060.00,6910.05,7028.60,7028.60,6849.80,11911,75788,531479251.00,
500038,BALRAM.CHINI,A ,Q,329.10,329.10,319.30,322.85,321.40,325.35,651,16282,5259188.00,
500039,BANCO PROD. ,B ,Q,180.00,180.00,172.95,174.20,173.60,177.05,1786,14585,2556909.00,
500040,CENTURY TEXT,A ,Q,853.10,888.00,852.80,876.90,877.55,862.70,1839,25252,22056014.00,
500041,BANNARI AMAN,A ,Q,2602.05,2699.95,2561.65,2577.70,2619.10,2639.15,75,239,620851.00,
500042,BASF INDIA  ,A ,Q,2890.95,2890.95,2790.25,2833.40,2857.35,2864.75,730,1908,5381526.00,
500043,BATA INDIA  ,A ,Q,1925.95,1929.65,1885.10,1909.15,1909.65,1910.30,1622,14671,28003091.00,
500048,BEML LTD    ,A ,Q,1900.00,1923.60,1841.70,1850.50,1857.70,1890.15,1269,8924,16762627.00,
500049,BHARAT ELECT,A ,Q,209.00,210.75,205.75,207.20,207.20,208.05,3751,386523,80608459.00,
500052,BHANSALI ENG,A ,Q,173.95,174.60,168.20,168.75,168.75,172.35,1247,41720,7111978.00,
500058,BIHAR SPONGE,XT,Q,10.99,11.17,10.60,10.83,10.70,10.64,499,325452,3589613.00,
500060,BIRLACABLE  ,B ,Q,88.15,89.50,87.50,87.90,88.00,87.35,78,1621,143181.00,
500067,BLUE STAR   ,A ,Q,998.80,1024.75,981.00,985.65,981.00,995.80,477,2396,2391321.00,
500068,DISA INDIA  ,X ,Q,5782.00,5948.85,5775.00,5833.60,5815.00,5894.35,55,221,1298413.00,
500069,BNK CAPITAL ,X ,Q,243.00,250.00,238.00,239.70,239.95,245.00,53,1909,464584.00,
500074,BPL LTD.    ,T ,Q,71.10,74.60,69.25,71.05,70.15,72.30,301,18086,1292108.00,
500078,OAL         ,B ,Q,769.85,778.00,746.00,749.30,778.00,753.50,67,352,264718.00,
500083,CENTURY EXT ,B ,Q,12.53,12.95,11.55,11.65,11.70,12.50,503,210098,2502920.00,
500084,CESC LTD.   ,A ,Q,89.00,90.25,87.60,88.75,88.75,88.80,2158,149940,13317297.00,
500085,CHAMBAL FERT,A ,Q,411.10,423.70,395.85,403.40,403.40,410.55,3672,135741,55235781.00,
500086,EXIDE IND.  ,A ,Q,165.10,166.75,162.55,162.90,162.90,165.70,6319,245622,40221407.00,
500087,CIPLA LTD.  ,A ,Q,904.25,904.25,878.45,881.00,881.00,895.70,4206,53409,47368904.00,
500089,DIC INDIA   ,B ,Q,419.90,419.90,404.00,404.05,404.00,415.00,78,392,160193.00,
500092,CRISIL LTD  ,A ,Q,3064.50,3074.90,3008.45,3025.90,3037.85,3024.40,632,1765,5358123.00,
500093,CGPOWER     ,T ,Q,185.70,187.00,175.80,180.05,180.05,185.05,2293,195776,35128430.00,
500096,DABUR (I)   ,A ,Q,573.50,575.50,569.10,570.70,570.70,573.25,945,18644,10646123.00,
500097,DALMIASUG   ,A ,Q,392.10,392.10,381.85,384.45,384.65,387.35,202,1388,534201.00,
500101,ARVIND Ltd  ,A ,Q,120.85,121.15,117.05,117.45,117.50,119.40,1634,96099,11366153.00,
500102,BALARPUR IND,Z ,Q,2.03,2.03,1.85,1.93,1.93,1.94,4681,20137088,38944118.00,
500103,BHEL        ,A ,Q,65.25,65.45,63.75,65.05,65.05,64.50,9340,3087528,199261401.00,
500104,HIND.PETRO  ,A ,Q,303.45,303.75,296.80,297.80,298.00,300.55,1554,70027,20994516.00,
500106,IFCI LTD    ,A ,Q,17.38,17.46,16.25,16.52,16.52,17.18,16385,2104619,34946453.00,
500108,MAHA.TELE   ,B ,Q,23.50,24.55,21.90,22.50,22.50,23.15,2726,1070836,24476292.00,
500109,MRPL        ,A ,Q,44.75,45.00,43.80,43.90,43.95,44.75,886,90858,4025377.00,
500110,CHENNAI PET.,A ,Q,105.65,105.70,103.25,104.20,104.20,104.90,915,34380,3579651.00,
500111,REL.CAP.    ,T ,Q,14.00,14.20,13.50,13.50,13.50,14.20,1172,442889,6045860.00,
500112,STATE BANK  ,A ,Q,488.70,490.65,478.30,481.20,481.20,484.90,14154,551188,266238015.00,
500113,STEEL AUTH. ,A ,Q,115.00,115.55,112.05,113.40,113.40,114.00,13321,2446177,278725219.00,
500114,TITAN       ,A ,Q,2326.00,2362.90,2326.00,2357.20,2357.20,2323.10,1494,13689,32091590.00,
500116,IDBI BANK L ,A ,Q,51.90,51.90,49.05,49.40,49.40,51.50,3758,1077242,54201650.00,
500117,DCW LTD.    ,T ,Q,42.00,42.45,40.50,40.90,40.95,41.90,433,36872,1516138.00,
500119,DHAMPUR SUGA,A ,Q,303.70,309.90,294.70,308.30,309.90,302.20,1176,25308,7665358.00,
500120,DIAMINES&CHM,X ,Q,246.00,248.00,239.00,241.15,241.95,239.80,136,8783,2134099.00,
500123,ELANTAS     ,A ,Q,3639.75,3670.00,3560.00,3619.05,3660.00,3628.80,69,200,723165.00,
