TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-10-10,2024-10-10,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8485.10,8625.00,8441.95,8504.95,8504.95,8460.70,,8510.15,,,13726,116896883.00,3391,F1,1,,,,,
2024-10-10,2024-10-10,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,699.10,705.00,687.70,692.00,690.45,698.35,,691.80,,,3910,2719846.00,397,F1,1,,,,,
2024-10-10,2024-10-10,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,1399.95,1412.00,1382.00,1398.00,1393.90,1372.90,,1399.55,,,25603,35732354.00,1750,F1,1,,,,,
2024-10-10,2024-10-10,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,57.15,59.30,55.25,58.57,58.57,56.52,,58.57,,,126574,7355037.00,660,F1,1,,,,,
2024-10-10,2024-10-10,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,92.10,94.55,92.10,92.74,93.00,93.45,,92.74,,,64010,5976734.00,1032,F1,1,,,,,
2024-10-10,2024-10-10,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,7.37,7.50,7.12,7.29,7.25,7.25,,7.29,,,42523,308384.00,196,F1,1,,,,,
2024-10-10,2024-10-10,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,11.48,11.93,11.48,11.53,11.53,11.48,,11.53,,,938,11008.00,32,F1,1,,,,,
2024-10-10,2024-10-10,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,225.85,228.40,223.15,224.40,224.40,224.00,,224.25,,,50248,11354891.00,943,F1,1,,,,,
2024-10-10,2024-10-10,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,206.00,208.90,199.50,202.35,199.50,199.50,,197.50,,,1239,253588.00,53,F1,1,,,,,
2024-10-10,2024-10-10,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,7916.30,8165.25,7870.95,7969.00,7982.95,7905.30,,7971.20,,,2558,20502086.00,919,F1,1,,,,,
2024-10-10,2024-10-10,CM,BSE,STK,500028,INE447A01015,ATVPR,XT,,,,,ATV PROJECTS INDIA LTD.,34.93,35.66,34.00,34.28,35.00,34.45,,34.28,,,17620,613674.00,123,F1,1,,,,,
2024-10-10,2024-10-10,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,910.00,917.00,905.50,910.15,910.15,902.45,,909.30,,,3255,2966957.00,440,F1,1,,,,,
2024-10-10,2024-10-10,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,39.48,39.48,38.76,39.05,39.05,39.11,,39.01,,,720011,28149568.00,2324,F1,1,,,,,
2024-10-10,2024-10-10,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,7384.95,7384.95,6911.00,7039.05,7039.05,7257.90,,7027.45,,,2259,16054479.00,852,F1,1,,,,,
2024-10-10,2024-10-10,CM,BSE,STK,500034,INE296A01024,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,7365.00,7368.25,7275.00,7319.65,7321.80,7308.70,,7319.70,,,26108,191183991.00,3773,F1,1,,,,,
