SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,2988.60,3015.50,2980.00,2994.00,2995.25,2988.60,629,2714,8129813.00,
500003,AEGIS LOGIS ,A ,Q,339.20,364.50,335.00,361.90,361.90,339.15,5875,225675,79412810.00,
500008,AMAR RAJA BA,A ,Q,667.30,667.30,653.05,654.10,653.10,663.35,771,11067,7266545.00,
500009,A.SARABHAI  ,X ,Q,27.10,27.40,26.60,26.85,26.85,27.10,329,78244,2107202.00,
500010,HDFC        ,A ,Q,2695.90,2706.00,2689.65,2700.95,2700.95,2684.95,1677,580335,1559017144.00,
500012,ANDHRA PETRO,X ,Q,79.90,79.90,78.10,78.85,78.85,78.70,451,50520,3975532.00,
500014,UTIQUE      ,X ,Q,6.74,6.85,6.55,6.84,6.84,6.59,181,68141,461975.00,
500016,ARUNAHTEL   ,X ,Q,14.25,15.25,14.25,15.00,15.00,14.70,26,1061,15777.00,
500020,BOM DYEING  ,A ,Q,82.90,85.90,82.25,85.10,85.10,82.25,2493,281220,23773755.00,
500023,ASIANHOTNR  ,B ,Q,89.20,89.20,87.25,88.90,88.80,88.00,63,2367,209327.00,
500027,ATUL LTD.   ,A ,Q,8250.10,8270.00,8217.15,8245.60,8250.00,8251.25,399,618,5094194.00,
500028,ATV PROJECTS,XT,Q,10.23,10.23,9.80,9.88,9.88,9.83,54,9917,99522.00,
500031,BAJAJ ELECT.,A ,Q,1103.55,1129.30,1103.55,1119.45,1117.30,1095.35,542,5101,5716906.00,
500032,BAJAJHIND   ,A ,Q,15.52,15.60,14.88,14.93,14.93,15.47,4781,2668864,40385141.00,
500033,FORCE MOTR  ,A ,Q,1457.05,1534.95,1454.80,1521.70,1521.70,1445.75,892,5354,8040027.00,
500034,BAJFINANCE  ,A ,Q,6507.00,6649.75,6507.00,6619.90,6619.90,6506.10,3172,20752,136984670.00,
500038,BALRAM.CHINI,A ,Q,372.15,373.85,367.00,367.90,367.90,373.20,1522,24128,8915395.00,
500039,BANCO PROD. ,B ,Q,202.50,202.70,199.35,200.25,200.60,200.50,623,6646,1335206.00,
500040,CENTURY TEXT,A ,Q,768.80,786.00,765.50,778.85,778.85,763.40,1095,8829,6858447.00,
500041,BANNARI AMAN,B ,Q,2915.10,2954.65,2858.00,2889.10,2870.05,2956.75,55,129,375553.00,
500042,BASF INDIA  ,A ,Q,2710.05,2728.55,2699.10,2712.70,2720.00,2727.10,360,907,2463887.00,
500043,BATA INDIA  ,A ,Q,1675.00,1695.00,1667.65,1685.85,1685.85,1670.40,2585,22522,37923141.00,
500048,BEML LTD    ,A ,Q,1520.00,1524.00,1482.70,1491.05,1490.00,1506.70,953,6697,10074866.00,
500049,BHARAT ELECT,A ,Q,104.85,105.40,104.50,105.20,105.20,104.50,1651,177531,18638723.00,
500052,BHANSALI ENG,A ,Q,113.00,114.65,112.35,113.00,113.00,112.20,558,16370,1846703.00,
500058,BIHAR SPONGE,XT,Q,9.70,9.89,9.15,9.66,9.78,9.63,115,48144,456575.00,
500060,BIRLACABLE  ,B ,Q,153.00,154.20,149.10,149.90,151.30,152.05,1606,67990,10286497.00,
500067,BLUE STAR   ,A ,Q,1270.65,1285.00,1242.00,1269.60,1276.05,1274.65,555,2261,2856405.00,
500068,DISA INDIA  ,X ,Q,7670.10,7850.00,7670.00,7690.25,7690.25,7682.10,26,116,897405.00,
500069,QUESTCAP    ,X ,Q,215.50,221.95,215.50,215.80,215.65,218.80,21,1733,374037.00,
500074,BPL LTD.    ,B ,Q,69.00,70.90,69.00,69.55,69.40,69.10,107,5178,362311.00,
500078,OAL         ,B ,Q,448.95,453.85,447.50,453.45,453.65,445.15,46,281,126892.00,
500083,CENTURY EXT ,B ,Q,10.25,10.42,10.00,10.19,10.25,10.30,152,30603,312091.00,
500084,CESC LTD.   ,A ,Q,76.65,79.50,76.65,78.90,78.90,76.65,3890,492148,38626277.00,
500085,CHAMBAL FERT,A ,Q,318.50,324.00,313.05,314.00,314.00,311.05,4456,210871,66988603.00,
500086,EXIDE IND.  ,A ,Q,191.20,193.10,190.40,192.10,192.10,191.15,1353,62442,11976750.00,
500087,CIPLA LTD.  ,A ,Q,1097.05,1112.45,1088.30,1109.65,1109.65,1097.05,1977,22824,25106069.00,
500089,DIC INDIA   ,B ,Q,389.30,389.30,385.00,385.00,385.00,391.00,7,7,2711.00,
500092,CRISIL LTD  ,A ,Q,2830.00,2849.80,2808.55,2827.20,2835.00,2808.45,438,1404,3973268.00,
500093,CGPOWER     ,A ,Q,281.05,287.35,281.05,284.15,284.85,281.75,3991,122124,34773732.00,
500096,DABUR (I)   ,A ,Q,600.10,603.90,593.40,594.30,594.00,602.35,933,23723,14135364.00,
500097,DALMIASUG   ,A ,Q,354.45,355.50,343.20,343.55,344.00,349.35,355,3124,1083877.00,
500101,ARVIND Ltd  ,A ,Q,97.80,98.05,96.40,96.85,96.85,96.50,544,33405,3245712.00,
500102,BALARPUR IND,Z ,Q,1.10,1.13,1.05,1.10,1.10,1.10,311,1024783,1106174.00,
500103,BHEL        ,A ,Q,86.70,87.30,85.10,85.70,85.70,86.70,2536,754868,65154199.00,
500104,HIND.PETRO  ,A ,Q,252.40,252.45,245.00,245.95,245.95,252.10,4057,217148,53745578.00,
500106,IFCI LTD    ,A ,Q,15.31,16.34,15.29,15.93,15.93,15.21,6665,8298884,132076381.00,
500108,MAHA.TELE   ,A ,Q,25.60,26.25,25.30,25.45,25.45,25.55,1749,549141,14170820.00,
500109,MRPL        ,A ,Q,59.75,60.10,58.50,58.75,58.75,59.20,1864,290214,17156577.00,
500110,CHENNAI PET.,B ,Q,221.30,222.30,217.00,217.80,217.75,220.55,869,33532,7358324.00,
500112,STATE BANK  ,A ,Q,614.40,617.25,612.60,616.65,616.65,613.05,9184,2344503,1438387220.00,
500113,STEEL AUTH. ,A ,Q,85.25,85.65,84.00,84.15,84.15,84.90,2777,454647,38369096.00,
500114,TITAN       ,A ,Q,2608.75,2608.75,2564.60,2574.85,2574.85,2583.00,1969,16514,42511280.00,
500116,IDBI BANK L ,A ,Q,55.70,58.75,55.35,58.10,58.10,55.30,9829,3471671,199179751.00,
500117,DCW LTD.    ,B ,Q,52.30,53.25,52.10,52.60,52.60,52.55,770,68832,3617444.00,
500119,DHAMPUR SUGA,A ,Q,221.55,223.00,218.75,219.95,221.00,220.35,524,12189,2680466.00,
500120,DIAMINES&CHM,X ,Q,500.00,512.50,477.05,498.55,502.90,499.00,470,17624,8763167.00,
500123,ELANTAS     ,B ,Q,4329.95,4344.95,4250.00,4290.50,4291.00,4307.70,57,159,684009.00,
500124,DR.REDDY'S  ,A ,Q,4454.00,4474.05,4440.10,4455.75,4443.90,4451.25,1113,6958,31028846.00,
500125,E.I.D.PAR   ,A ,Q,582.25,583.80,572.90,579.60,579.00,582.10,706,6049,3501393.00,
500126,PGHL        ,A ,Q,4173.85,4225.60,4102.50,4183.55,4165.50,4187.65,337,712,2971000.00,
500128,ELEC.CASTING,B ,Q,39.75,39.75,38.75,38.90,38.90,38.85,645,82836,3231699.00,
500133,ESAB INDIA  ,A ,Q,3989.00,4121.00,3981.60,4076.55,4112.95,3980.75,150,278,1119912.00,
500135,EPL         ,A ,Q,170.80,173.90,167.20,169.10,169.15,169.80,2121,74832,12821833.00,
500136,ESTER INDUS.,B ,Q,139.70,140.35,137.15,137.55,138.05,139.25,925,26074,3606534.00,
500142,FGP LTD.    ,X ,Q,7.05,7.25,7.05,7.12,7.12,7.01,18,3597,25676.00,
500143,P.H.CAPITAL ,X ,Q,80.00,83.20,80.00,81.90,82.40,81.10,28,223,18189.00,
500144,FINOL. CABLE,A ,Q,557.50,576.00,557.00,561.35,561.35,555.55,2209,35614,20210791.00,
500147,COCKERILL   ,X ,Q,1275.00,1279.95,1250.25,1251.85,1250.25,1264.10,23,394,498476.00,
500148,UFLEX LTD   ,A ,Q,586.05,589.00,572.10,575.40,575.40,585.25,922,11958,6917191.00,
500150,FOSECO INDIA,B ,Q,1960.55,2001.70,1920.95,1970.45,2001.70,1966.95,112,565,1107533.00,
500151,GOLDEN TOB  ,Z ,Q,72.80,72.80,69.35,71.50,71.00,69.85,37,1863,132838.00,
500153,GANESH BENZO,B ,Q,149.75,154.75,148.50,151.85,151.35,149.05,930,21573,3297701.00,
500159,METROGLOBL  ,X ,Q,91.50,96.50,90.35,93.10,93.25,91.50,23,183,16758.00,
500160,GTL LTD.    ,B ,Q,8.85,9.25,8.73,8.95,9.00,8.70,479,303790,2712252.00,
