SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,B ,Q,895.20,900.20,881.20,885.20,886.45,894.10,1135,11844,10583183.00,
500003,AEGIS LOGIS ,A ,Q,225.50,240.20,220.00,224.90,224.90,229.70,1568,16567,3805930.00,
500008,AMAR RAJA BA,A ,Q,715.15,734.00,714.45,726.10,722.00,710.90,1081,15820,11476534.00,
500009,A.SARABHAI  ,X ,Q,18.85,19.25,17.85,17.85,17.85,18.75,154,50725,913905.00,
500010,HDFC        ,A ,Q,1688.00,1696.00,1650.60,1667.10,1667.10,1675.60,9358,93916,157002686.00,
500012,ANDHRA PETRO,XT,Q,30.25,32.00,30.25,31.75,31.80,30.60,148,36502,1145265.00,
500013,ANSAL INFRAS,B ,Q,3.84,3.86,3.74,3.76,3.78,3.86,42,27625,104816.00,
500014,UTIQUE      ,X ,Q,1.10,1.10,1.00,1.10,1.10,1.05,9,1211,1231.00,
500020,BOM DYEING  ,A ,Q,63.85,64.30,60.75,62.95,62.95,62.85,1275,180673,11256512.00,
500023,ASIANHOTNR  ,B ,Q,56.85,56.85,54.20,55.10,55.10,55.00,35,461,25222.00,
500027,ATUL LTD.   ,A ,Q,6200.00,6362.35,5946.10,5975.20,5975.20,6196.50,1830,4262,25857554.00,
500028,ATV PROJECTS,XT,Q,3.67,3.99,3.65,3.70,3.70,3.84,25,28878,106740.00,
500029,AUTOLITE(I) ,B ,Q,19.15,19.15,18.00,18.00,18.00,18.60,18,232,4222.00,
500031,BAJAJ ELECT.,A ,Q,466.00,470.00,456.50,463.90,463.90,456.80,613,8703,4031825.00,
500032,BAJAJHIND   ,B ,Q,4.96,5.20,4.94,4.98,5.00,4.97,589,201125,1010239.00,
500033,FORCE MOTR  ,A ,Q,1080.00,1094.15,1038.55,1053.40,1053.95,1066.65,581,3181,3384456.00,
500034,BAJFINANCE  ,A ,Q,3339.50,3343.90,3201.10,3242.85,3242.85,3304.40,15985,135617,443560079.00,
500038,BALRAM.CHINI,A ,Q,152.00,153.50,144.40,146.25,146.25,152.30,1115,40472,5956576.00,
500039,BANCO PROD. ,B ,Q,88.20,88.40,86.20,87.00,87.00,86.65,226,5706,498322.00,
500040,CENTURY TEXT,A ,Q,342.85,347.70,327.45,332.55,332.55,339.10,1554,55435,18521806.00,
500041,BANNARI AMAN,B ,Q,1310.00,1310.00,1310.00,1310.00,1310.00,1300.00,8,37,48470.00,
500042,BASF INDIA  ,A ,Q,1470.00,1476.35,1414.00,1437.25,1437.25,1454.00,293,1497,2145722.00,
500043,BATA INDIA  ,A ,Q,1313.25,1369.95,1313.25,1340.55,1340.55,1313.80,3798,47243,63695192.00,
500048,BEML LTD    ,A ,Q,609.95,617.60,584.20,602.85,602.85,606.75,1670,26323,15829086.00,
500049,BHARAT ELECT,A ,Q,92.50,95.55,92.40,93.80,93.80,92.35,3741,495843,46612550.00,
500052,BHANSALI ENG,B ,Q,64.90,64.90,62.15,63.00,62.65,62.40,516,54442,3462492.00,
500055,TATASTLBSL  ,B ,Q,21.95,22.00,20.65,21.05,21.15,21.80,196,73661,1556863.00,
500058,BIHAR SPONGE,XT,Q,0.63,0.63,0.63,0.63,0.63,0.60,5,5275,3323.00,
500060,BIRLACABLE  ,B ,Q,53.00,53.00,50.00,50.75,51.15,50.70,70,2029,103513.00,
500067,BLUE STAR   ,A ,Q,657.40,658.50,630.70,644.40,644.40,649.65,417,3023,1943445.00,
500068,DISA INDIA  ,X ,Q,3474.00,3474.00,3375.00,3422.00,3422.00,3428.75,27,70,239457.00,
500069,BNK CAPITAL ,X ,Q,66.50,69.90,66.50,66.50,66.50,66.80,15,451,30011.00,
500074,BPL LTD.    ,B ,Q,17.75,17.90,17.15,17.35,17.50,17.60,53,4393,76639.00,
500078,OAL         ,B ,Q,366.95,388.00,348.60,366.90,366.90,361.35,806,5147,1880888.00,
500083,CENTURY EXT ,B ,Q,3.60,3.62,3.32,3.58,3.62,3.45,165,53298,188155.00,
500084,CESC LTD.   ,A ,Q,651.95,657.00,628.00,647.65,649.60,646.20,750,6771,4365120.00,
500085,CHAMBAL FERT,A ,Q,146.95,149.50,146.95,148.25,148.90,148.00,1105,41781,6192317.00,
500086,EXIDE IND.  ,A ,Q,158.00,159.20,155.70,157.45,157.45,156.80,3308,223419,35266120.00,
500087,CIPLA LTD.  ,A ,Q,785.00,785.00,762.05,766.90,766.90,778.20,6662,746423,573890520.00,
500089,DIC INDIA   ,B ,Q,367.40,372.00,366.60,372.00,372.00,367.40,18,115,42460.00,
500092,CRISIL LTD  ,A ,Q,1780.90,1780.90,1740.30,1754.25,1755.95,1779.30,83,229,402509.00,
500093,CGPOWER     ,B ,Q,22.30,24.00,21.90,22.80,22.80,22.95,1740,617272,14128982.00,
500096,DABUR (I)   ,A ,Q,499.00,499.00,484.50,486.05,486.05,492.40,2124,56534,27640206.00,
500097,DALMIASUG   ,B ,Q,127.75,127.75,124.00,124.20,124.20,125.90,267,4135,516100.00,
500101,ARVIND Ltd  ,A ,Q,30.70,30.90,29.60,29.85,29.85,30.10,1567,1118821,33833554.00,
500102,BALARPUR IND,T ,Q,1.35,1.35,1.27,1.32,1.30,1.32,304,268761,352124.00,
500103,BHEL        ,A ,Q,33.00,33.30,30.85,31.50,31.50,32.60,8541,2772101,88610475.00,
500104,HIND.PETRO  ,A ,Q,181.80,183.10,174.10,177.65,177.65,180.50,7308,525759,94132731.00,
500106,IFCI LTD    ,A ,Q,6.05,6.14,5.81,5.92,5.92,5.97,18677,254996,1516126.00,
500108,MAHA.TELE   ,B ,Q,8.75,8.82,8.25,8.34,8.34,8.63,8764,131504,1115873.00,
500109,MRPL        ,A ,Q,28.70,28.70,27.25,27.45,27.45,27.40,458,97514,2681926.00,
500110,CHENNAI PET.,A ,Q,70.60,72.00,68.50,69.45,69.45,70.65,661,32807,2304737.00,
500111,REL.CAP.    ,B ,Q,7.90,8.22,7.69,7.98,7.98,7.85,801,318970,2529817.00,
500112,STATE BANK  ,A ,Q,188.80,188.80,181.00,183.80,183.80,186.15,12931,1726374,317763208.00,
