SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1305.30,1315.50,1292.20,1302.75,1300.95,1296.25,418,4764,6199758.00,
500003,AEGIS LOGIS ,A ,Q,255.05,261.95,253.65,258.30,257.00,253.10,1009,20535,5308657.00,
500008,AMAR RAJA BA,A ,Q,982.00,996.80,979.00,987.25,987.35,979.15,2045,35349,34947245.00,
500009,A.SARABHAI  ,X ,Q,24.50,25.20,23.75,24.55,24.55,24.70,268,80948,1974650.00,
500010,HDFC        ,A ,Q,2666.00,2709.00,2647.00,2661.60,2661.60,2636.35,14012,704824,1887601081.00,
500012,ANDHRA PETRO,X ,Q,63.60,63.60,58.60,61.40,61.40,60.90,960,282203,17278262.00,
500013,ANSAL INFRAS,T ,Q,11.95,11.95,11.95,11.95,11.95,12.57,43,32203,384825.00,
500014,UTIQUE      ,X ,Q,2.32,2.44,2.32,2.44,2.44,2.33,68,33179,80215.00,
500016,ARUNAHTEL   ,XT,Q,6.90,7.56,6.90,6.91,6.91,7.20,4,1056,7852.00,
500020,BOM DYEING  ,A ,Q,80.50,85.30,80.05,82.50,82.50,78.40,7459,1203005,99594343.00,
500023,ASIANHOTNR  ,B ,Q,74.00,78.00,74.00,75.95,75.95,75.05,127,2224,171974.00,
500027,ATUL LTD.   ,A ,Q,6579.95,6624.50,6540.00,6551.55,6551.55,6577.35,277,1193,7834006.00,
500028,ATV PROJECTS,XT,Q,6.19,6.19,5.61,6.18,6.19,5.90,82,40531,249513.00,
500029,AUTOLITE(I) ,B ,Q,25.40,25.40,24.25,24.60,24.85,24.55,25,2104,51817.00,
500031,BAJAJ ELECT.,A ,Q,630.05,649.00,630.05,636.40,635.80,632.55,900,13560,8682344.00,
500032,BAJAJHIND   ,A ,Q,7.10,7.24,6.71,6.82,6.82,6.95,3019,2616721,18477225.00,
500033,FORCE MOTR  ,A ,Q,1399.00,1401.35,1368.00,1371.30,1371.30,1384.20,503,4398,6097668.00,
500034,BAJFINANCE  ,A ,Q,5063.00,5129.50,5022.00,5082.80,5082.80,5027.95,9518,108209,549729776.00,
500038,BALRAM.CHINI,A ,Q,175.00,177.70,171.70,172.80,172.80,174.05,547,62764,11011006.00,
500039,BANCO PROD. ,B ,Q,144.30,145.25,141.65,142.50,142.40,142.75,452,17389,2498373.00,
500040,CENTURY TEXT,A ,Q,424.00,432.20,414.40,416.30,417.50,417.70,2017,63612,26762833.00,
500041,BANNARI AMAN,A ,Q,1501.15,1508.85,1470.00,1475.35,1475.00,1493.10,23,87,130108.00,
500042,BASF INDIA  ,A ,Q,1722.00,1760.00,1711.50,1718.65,1716.00,1694.10,730,4917,8532531.00,
500043,BATA INDIA  ,A ,Q,1670.25,1674.00,1631.35,1641.25,1642.00,1659.60,4632,57177,94315802.00,
500048,BEML LTD    ,A ,Q,1020.00,1020.00,990.00,992.35,992.35,991.85,806,18893,18861616.00,
500049,BHARAT ELECT,A ,Q,134.80,135.00,131.35,131.70,131.70,133.10,6522,2507675,334371618.00,
500052,BHANSALI ENG,A ,Q,153.25,165.00,151.45,163.90,163.90,151.50,4292,309600,49281611.00,
500055,TATASTLBSL  ,B ,Q,43.20,45.60,43.00,44.95,44.95,42.40,3766,1194584,53343694.00,
500060,BIRLACABLE  ,B ,Q,71.85,73.85,68.40,69.55,69.55,69.35,2060,115297,8232717.00,
500067,BLUE STAR   ,A ,Q,814.65,814.65,792.00,798.15,798.15,812.25,506,4860,3909742.00,
500068,DISA INDIA  ,X ,Q,4099.95,4100.00,4000.00,4019.55,4050.00,4021.15,61,952,3829631.00,
500069,BNK CAPITAL ,X ,Q,100.00,102.55,98.00,99.55,100.00,98.30,464,37705,3773133.00,
500074,BPL LTD.    ,B ,Q,23.50,24.45,23.50,24.15,24.00,23.30,147,16466,396825.00,
500078,OAL         ,B ,Q,554.60,605.00,554.60,568.15,565.50,556.05,669,5342,3085883.00,
500083,CENTURY EXT ,T ,Q,5.20,5.55,5.20,5.36,5.40,5.39,126,64105,341082.00,
500084,CESC LTD.   ,A ,Q,634.00,634.00,621.00,622.45,622.45,622.00,344,5575,3487279.00,
500085,CHAMBAL FERT,A ,Q,247.40,247.95,239.00,240.45,240.70,244.90,1294,91016,22109567.00,
500086,EXIDE IND.  ,A ,Q,195.10,199.85,195.10,197.15,197.15,193.75,2849,259393,51256937.00,
500087,CIPLA LTD.  ,A ,Q,829.50,829.50,817.85,826.35,826.35,825.00,4226,130269,107331700.00,
500089,DIC INDIA   ,B ,Q,405.70,413.25,395.10,404.50,404.00,403.60,94,1830,748180.00,
500092,CRISIL LTD  ,A ,Q,1900.00,1957.85,1900.00,1940.80,1941.45,1915.95,737,2543,4937217.00,
500093,CGPOWER     ,B ,Q,44.00,44.00,42.90,43.10,43.15,43.30,1809,405363,17589528.00,
500096,DABUR (I)   ,A ,Q,539.00,539.20,533.50,535.65,535.65,533.75,1418,83808,44939641.00,
500097,DALMIASUG   ,A ,Q,147.55,148.50,142.10,143.50,142.50,146.65,404,13735,1993161.00,
500101,ARVIND Ltd  ,A ,Q,51.50,51.80,50.20,50.50,50.50,50.95,1149,221114,11270170.00,
500102,BALARPUR IND,Z ,Q,1.19,1.25,1.19,1.19,1.19,1.25,1618,7301946,8693719.00,
500103,BHEL        ,A ,Q,39.90,40.15,39.05,39.30,39.30,39.40,8972,4306690,170628016.00,
500104,HIND.PETRO  ,A ,Q,222.75,224.10,220.65,222.90,222.90,220.90,2121,172815,38476150.00,
500106,IFCI LTD    ,A ,Q,9.45,9.73,9.45,9.54,9.54,9.45,22550,1326437,12726227.00,
500108,MAHA.TELE   ,B ,Q,14.95,14.95,14.33,14.40,14.40,14.73,2326,740458,10765575.00,
500109,MRPL        ,A ,Q,39.10,40.00,38.65,38.75,38.75,39.25,1377,293340,11481381.00,
500110,CHENNAI PET.,A ,Q,110.80,111.40,108.70,109.75,110.00,108.90,650,53424,5879414.00,
500111,REL.CAP.    ,T ,Q,11.88,12.18,11.60,11.76,11.70,11.97,1107,388770,4614556.00,
500112,STATE BANK  ,A ,Q,289.30,291.80,287.00,287.75,287.75,284.90,10666,2099771,606911121.00,
500113,STEEL AUTH. ,A ,Q,76.85,79.25,76.85,78.00,78.00,76.25,9376,3440130,269608535.00,
500114,TITAN       ,A ,Q,1575.00,1575.00,1535.60,1542.40,1542.40,1574.30,7850,109099,168671008.00,
500116,IDBI BANK L ,A ,Q,32.00,32.00,31.40,31.50,31.50,31.70,3813,1170331,37103740.00,
