SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,B ,Q,883.55,883.55,833.00,852.65,852.65,877.00,1273,12670,10840865.00,
500003,AEGIS LOGIS ,A ,Q,199.90,199.90,188.25,189.00,189.15,198.50,671,9995,1930959.00,
500008,AMAR RAJA BA,A ,Q,663.15,667.65,652.30,656.60,655.00,662.55,1467,28922,19082626.00,
500009,A.SARABHAI  ,X ,Q,15.85,16.55,15.25,15.45,15.40,16.05,196,56174,877366.00,
500010,HDFC        ,A ,Q,1769.70,1826.35,1745.70,1771.30,1771.30,1761.65,13460,286600,513567084.00,
500012,ANDHRA PETRO,X ,Q,23.05,24.50,23.05,23.80,23.80,23.70,224,55205,1311570.00,
500013,ANSAL INFRAS,T ,Q,4.49,4.49,4.19,4.21,4.39,4.41,47,68230,291004.00,
500014,UTIQUE      ,X ,Q,0.97,1.01,0.97,1.01,1.01,0.97,5,1504,1499.00,
500016,ARUNAHTEL   ,XT,Q,6.99,6.99,6.99,6.99,6.99,7.35,12,9635,67348.00,
500020,BOM DYEING  ,A ,Q,71.00,72.90,67.85,68.55,68.55,69.70,2679,284401,20017961.00,
500023,ASIANHOTNR  ,B ,Q,60.05,60.05,54.90,55.50,54.90,59.95,95,5676,325146.00,
500027,ATUL LTD.   ,A ,Q,4713.00,4719.55,4609.00,4649.00,4649.00,4679.00,110,246,1146015.00,
500028,ATV PROJECTS,XT,Q,3.55,3.68,3.34,3.35,3.35,3.51,34,7581,26136.00,
500029,AUTOLITE(I) ,B ,Q,19.25,19.25,19.25,19.25,19.25,18.80,1,17,327.00,
500031,BAJAJ ELECT.,A ,Q,444.25,446.25,429.00,432.35,433.45,442.20,469,3837,1663795.00,
500032,BAJAJHIND   ,B ,Q,5.90,5.90,5.75,5.88,5.88,5.62,1528,1998840,11769849.00,
500033,FORCE MOTR  ,A ,Q,948.00,948.00,892.45,902.45,904.00,941.90,1030,4914,4527863.00,
500034,BAJFINANCE  ,A ,Q,2535.20,2535.20,2415.25,2443.55,2443.55,2507.40,26778,380826,944679180.00,
500038,BALRAM.CHINI,A ,Q,128.95,130.35,122.45,124.20,124.20,125.55,2527,126851,16048606.00,
500039,BANCO PROD. ,B ,Q,73.85,73.90,68.10,68.65,68.65,71.60,794,41078,2910879.00,
500040,CENTURY TEXT,A ,Q,320.00,324.50,308.70,312.25,311.60,318.00,1276,68683,21691519.00,
500041,BANNARI AMAN,B ,Q,920.10,920.10,920.10,920.10,920.10,940.00,1,10,9201.00,
500042,BASF INDIA  ,A ,Q,1136.60,1136.60,1090.00,1096.85,1090.00,1129.75,442,1580,1749095.00,
500043,BATA INDIA  ,A ,Q,1402.55,1428.70,1385.35,1394.85,1394.90,1402.55,3473,47694,67000865.00,
500048,BEML LTD    ,A ,Q,635.95,638.40,611.00,617.00,617.00,629.55,1725,40216,25155088.00,
500049,BHARAT ELECT,A ,Q,75.25,76.05,72.65,73.05,73.05,74.60,3067,1096998,82226163.00,
500052,BHANSALI ENG,B ,Q,41.45,42.65,39.85,40.70,40.70,40.35,623,62771,2563294.00,
500055,TATASTLBSL  ,B ,Q,20.70,21.30,20.30,20.40,20.40,20.70,327,157054,3275086.00,
500058,BIHAR SPONGE,XT,Q,0.60,0.60,0.58,0.60,0.60,0.58,16,16489,9807.00,
500060,BIRLACABLE  ,B ,Q,46.10,47.00,43.55,43.65,43.75,45.50,251,8954,402160.00,
500067,BLUE STAR   ,A ,Q,530.00,534.00,513.10,516.45,517.35,527.35,486,238259,126504975.00,
500068,DISA INDIA  ,X ,Q,3540.00,3648.95,3482.00,3498.75,3482.00,3480.00,54,299,1061128.00,
500069,BNK CAPITAL ,X ,Q,55.50,55.60,54.65,54.65,54.65,53.00,6,303,16754.00,
500074,BPL LTD.    ,B ,Q,17.67,17.67,16.29,16.51,16.44,17.29,90,17651,296398.00,
500078,OAL         ,B ,Q,162.25,162.25,157.75,160.30,160.30,163.60,52,472,75342.00,
500083,CENTURY EXT ,B ,Q,3.56,3.56,2.85,3.10,3.12,3.41,88,59578,184781.00,
500084,CESC LTD.   ,A ,Q,655.20,666.30,616.95,623.65,620.95,648.85,1500,22854,14534626.00,
500085,CHAMBAL FERT,A ,Q,137.45,138.90,136.10,137.75,137.30,136.95,4986,120250,16586777.00,
500086,EXIDE IND.  ,A ,Q,160.05,161.40,156.10,158.65,158.65,158.70,4718,255607,40459044.00,
500087,CIPLA LTD.  ,A ,Q,638.60,654.00,637.10,639.90,639.90,635.25,5813,274278,177405775.00,
500089,DIC INDIA   ,B ,Q,332.65,333.00,327.15,327.15,327.15,333.00,10,319,106081.00,
500092,CRISIL LTD  ,A ,Q,1493.55,1493.55,1436.00,1443.70,1441.00,1489.35,306,1058,1549989.00,
500093,CGPOWER     ,B ,Q,6.80,6.80,6.45,6.49,6.51,6.54,415,442964,2934961.00,
500096,DABUR (I)   ,A ,Q,458.20,475.90,458.20,466.75,467.20,458.10,4676,604995,280659089.00,
500097,DALMIASUG   ,B ,Q,93.00,97.40,86.60,92.90,92.90,92.00,777,35948,3320161.00,
500101,ARVIND Ltd  ,A ,Q,35.50,35.50,31.60,31.85,31.85,34.90,1999,433624,14268841.00,
500102,BALARPUR IND,B ,Q,0.59,0.59,0.59,0.59,0.59,0.57,2,501,295.00,
500103,BHEL        ,A ,Q,28.35,31.40,27.80,30.70,30.70,28.00,12888,9924292,296684226.00,
500104,HIND.PETRO  ,A ,Q,218.80,221.90,209.10,211.75,211.75,216.45,2907,266731,57202990.00,
500106,IFCI LTD    ,A ,Q,7.33,7.44,6.82,6.98,6.98,7.27,34251,1041856,7341098.00,
500108,MAHA.TELE   ,B ,Q,10.21,10.21,9.31,9.47,9.47,9.29,12786,548907,5337532.00,
