SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1430.00,1469.50,1415.50,1449.60,1457.05,1418.25,2009,30026,43449711.00,
500003,AEGIS LOGIS ,A ,Q,332.50,362.95,321.05,347.40,347.40,327.85,7770,342850,121098503.00,
500008,AMAR RAJA BA,A ,Q,775.90,787.15,775.90,784.80,784.80,772.50,3853,73738,57759800.00,
500009,A.SARABHAI  ,X ,Q,48.45,48.45,45.05,48.40,48.40,44.05,33728,10503617,506972988.00,
500010,HDFC        ,A ,Q,2505.00,2526.90,2487.50,2501.95,2500.00,2485.90,5668,90499,226618962.00,
500012,ANDHRA PETRO,X ,Q,77.40,78.40,75.25,76.10,76.10,75.90,1186,269827,20651707.00,
500013,ANSAL INFRAS,B ,Q,6.05,6.11,6.00,6.10,6.11,6.02,51,80967,491553.00,
500014,UTIQUE      ,X ,Q,2.55,2.68,2.44,2.65,2.65,2.56,58,20067,52967.00,
500016,ARUNAHTEL   ,XT,Q,8.23,8.23,8.23,8.23,8.23,7.84,5,925,7612.00,
500020,BOM DYEING  ,A ,Q,75.90,76.80,74.05,74.85,74.85,75.40,1025,185015,13988365.00,
500023,ASIANHOTNR  ,B ,Q,69.00,69.00,65.30,68.15,68.45,66.20,47,1580,104660.00,
500027,ATUL LTD.   ,A ,Q,8422.00,8477.85,8265.00,8459.65,8459.65,8309.80,583,1840,15425631.00,
500028,ATV PROJECTS,XT,Q,5.56,5.59,5.34,5.54,5.46,5.33,120,49312,273440.00,
500031,BAJAJ ELECT.,A ,Q,1193.00,1193.00,1126.00,1144.90,1144.90,1119.60,590,4256,4856303.00,
500032,BAJAJHIND   ,A ,Q,12.99,13.09,12.21,12.30,12.30,12.84,2503,1941838,24447075.00,
500033,FORCE MOTR  ,A ,Q,1220.00,1228.55,1193.30,1202.50,1204.05,1184.80,658,6029,7283626.00,
500034,BAJFINANCE  ,A ,Q,5490.00,5702.45,5490.00,5687.20,5687.20,5424.40,11271,132873,749347482.00,
500038,BALRAM.CHINI,A ,Q,316.30,319.00,306.00,312.35,312.35,314.10,2101,83210,25974920.00,
500039,BANCO PROD. ,B ,Q,150.40,152.05,149.90,150.85,151.35,148.95,188,3550,536548.00,
500040,CENTURY TEXT,A ,Q,485.85,496.00,482.95,490.00,490.00,480.75,1295,56265,27529742.00,
500041,BANNARI AMAN,A ,Q,1906.75,1906.75,1765.60,1845.70,1840.00,1876.30,138,844,1549415.00,
500042,BASF INDIA  ,A ,Q,2394.80,2505.00,2351.00,2497.90,2500.00,2399.95,1919,12084,29687223.00,
500043,BATA INDIA  ,A ,Q,1406.00,1458.60,1405.95,1451.05,1451.05,1405.20,2793,45556,65463777.00,
500048,BEML LTD    ,A ,Q,1305.10,1339.45,1303.00,1307.20,1308.50,1303.20,1273,29961,39636096.00,
500049,BHARAT ELECT,A ,Q,150.10,155.00,149.30,154.60,154.60,148.10,13069,1275145,193970607.00,
