SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1505.00,1512.00,1477.25,1489.50,1489.50,1489.60,994,9814,14649310.00,
500003,AEGIS LOGIS ,A ,Q,317.00,321.75,312.00,314.30,314.30,312.70,749,16051,5095073.00,
500008,AMAR RAJA BA,A ,Q,900.00,908.90,893.00,902.90,902.90,892.20,1265,30665,27640204.00,
500009,A.SARABHAI  ,X ,Q,18.65,19.95,18.65,19.05,19.05,19.20,189,66984,1299568.00,
500010,HDFC        ,A ,Q,2548.20,2559.40,2507.00,2509.95,2509.95,2543.25,3894,57526,145189036.00,
500012,ANDHRA PETRO,X ,Q,66.25,68.90,65.10,66.35,66.50,67.45,409,79189,5295581.00,
500013,ANSAL INFRAS,B ,Q,8.65,8.81,8.17,8.25,8.17,8.60,83,18750,159670.00,
500014,UTIQUE      ,X ,Q,2.23,2.23,2.20,2.23,2.23,2.13,17,5332,11880.00,
500016,ARUNAHTEL   ,XT,Q,5.75,5.75,5.74,5.74,5.74,5.74,2,600,3445.00,
500020,BOM DYEING  ,A ,Q,84.10,85.75,82.50,82.90,82.90,83.95,3366,666668,56040871.00,
500023,ASIANHOTNR  ,B ,Q,74.00,74.00,72.15,72.15,72.15,72.55,66,3079,224718.00,
500027,ATUL LTD.   ,A ,Q,6732.55,6771.10,6678.80,6738.05,6726.00,6678.80,147,438,2945499.00,
500028,ATV PROJECTS,XT,Q,4.50,4.96,4.50,4.65,4.96,4.73,57,30182,138527.00,
500029,AUTOLITE(I) ,Z ,Q,30.85,31.60,29.25,29.30,29.30,30.35,18,2208,66345.00,
500031,BAJAJ ELECT.,A ,Q,1038.50,1094.00,986.00,1009.05,1009.05,1033.45,1286,17155,17755706.00,
500032,BAJAJHIND   ,A ,Q,7.94,8.10,7.80,7.92,7.92,7.68,1336,1143613,9127355.00,
500033,FORCE MOTR  ,A ,Q,1356.00,1358.00,1313.70,1317.70,1317.70,1320.55,297,1641,2183152.00,
500034,BAJFINANCE  ,A ,Q,5465.00,5494.30,5310.00,5323.40,5323.40,5444.40,6382,66791,358170909.00,
500038,BALRAM.CHINI,A ,Q,205.50,217.00,202.25,213.20,215.00,201.30,3117,222162,46873283.00,
500039,BANCO PROD. ,B ,Q,154.55,155.05,152.00,153.10,154.60,152.55,4404,147563,22720993.00,
500040,CENTURY TEXT,A ,Q,514.05,523.70,507.00,508.55,508.55,514.05,2277,100667,51926077.00,
500041,BANNARI AMAN,A ,Q,1845.15,1845.15,1777.50,1795.15,1777.50,1813.40,68,193,349824.00,
500042,BASF INDIA  ,A ,Q,2275.00,2330.00,2188.70,2231.40,2231.40,2252.75,621,3118,6982333.00,
500043,BATA INDIA  ,A ,Q,1545.00,1545.00,1496.25,1499.90,1502.40,1526.80,1377,21210,32053353.00,
500048,BEML LTD    ,A ,Q,1238.00,1406.25,1238.00,1406.25,1406.25,1171.90,15760,342918,468087787.00,
500049,BHARAT ELECT,A ,Q,148.90,150.75,144.20,145.10,145.10,146.90,4459,488229,72111317.00,
500052,BHANSALI ENG,A ,Q,144.90,144.90,138.15,139.00,139.50,138.90,1308,118182,16524197.00,
500055,TATASTLBSL  ,B ,Q,47.50,48.40,47.25,47.45,47.55,47.10,1169,439101,21022888.00,
500058,BIHAR SPONGE,XT,Q,1.77,1.77,1.75,1.77,1.77,1.74,16,35300,62280.00,
500060,BIRLACABLE  ,B ,Q,63.70,70.30,60.75,66.75,66.75,60.80,2949,356243,24144692.00,
500067,BLUE STAR   ,A ,Q,947.80,973.20,940.20,948.60,948.60,936.90,1358,26477,25453686.00,
500068,DISA INDIA  ,X ,Q,4690.20,4974.00,4690.20,4850.00,4850.00,4847.45,41,148,718473.00,
500069,BNK CAPITAL ,X ,Q,135.00,145.20,135.00,140.00,140.00,136.35,59,8123,1145267.00,
500074,BPL LTD.    ,B ,Q,27.95,29.30,27.10,27.85,27.85,27.95,651,96503,2758903.00,
500078,OAL         ,B ,Q,614.70,629.85,599.10,601.00,604.00,606.30,316,2721,1656128.00,
500083,CENTURY EXT ,B ,Q,4.36,4.76,4.36,4.54,4.54,4.67,113,41857,194484.00,
500084,CESC LTD.   ,A ,Q,632.00,645.10,621.00,630.00,630.00,631.35,1188,33886,21349469.00,
500085,CHAMBAL FERT,A ,Q,240.00,240.00,234.05,234.50,235.00,238.15,986,46273,10902685.00,
500086,EXIDE IND.  ,A ,Q,205.10,208.25,204.20,205.00,205.00,204.10,3587,223698,46089744.00,
500087,CIPLA LTD.  ,A ,Q,806.20,819.00,806.00,808.20,808.20,805.45,5297,183499,149290428.00,
500089,DIC INDIA   ,B ,Q,439.00,445.00,435.50,442.30,442.70,434.75,190,1988,878230.00,
500092,CRISIL LTD  ,A ,Q,1865.00,1910.65,1843.55,1907.40,1907.40,1886.40,812,3690,6944610.00,
500093,CGPOWER     ,B ,Q,63.95,64.10,61.90,62.25,62.25,61.50,1043,224802,14197959.00,
500096,DABUR (I)   ,A ,Q,524.70,530.80,521.80,528.55,528.55,524.70,2843,94966,50078572.00,
500097,DALMIASUG   ,A ,Q,172.40,179.80,169.70,177.65,177.65,168.20,745,39420,6899646.00,
500101,ARVIND Ltd  ,A ,Q,77.60,80.00,77.25,78.45,78.50,78.60,2110,136420,10682696.00,
500102,BALARPUR IND,Z ,Q,1.29,1.29,1.22,1.25,1.25,1.26,445,661857,828970.00,
500103,BHEL        ,A ,Q,53.45,55.50,53.00,54.40,54.40,52.50,21390,7459642,404178734.00,
500104,HIND.PETRO  ,A ,Q,247.00,250.25,242.40,243.40,243.40,242.95,2888,556713,137069369.00,
500106,IFCI LTD    ,A ,Q,12.20,12.47,11.80,11.86,11.86,11.74,21344,1025242,12293753.00,
500108,MAHA.TELE   ,B ,Q,15.60,16.80,15.24,16.23,16.23,15.23,16398,932983,15019678.00,
500109,MRPL        ,A ,Q,43.30,45.80,43.05,44.25,44.25,42.40,3743,989558,44291726.00,
500110,CHENNAI PET.,A ,Q,108.00,122.55,107.95,120.60,120.60,107.75,3198,352286,41580233.00,
500111,REL.CAP.    ,B ,Q,10.70,11.01,10.54,10.67,10.67,10.52,962,406727,4365438.00,
500112,STATE BANK  ,A ,Q,388.60,393.40,386.40,389.55,389.55,383.80,34209,2954060,1150716315.00,
500113,STEEL AUTH. ,A ,Q,73.25,75.30,72.30,74.40,74.40,72.15,9644,4647600,343693555.00,
500114,TITAN       ,A ,Q,1465.00,1481.20,1452.00,1455.65,1455.65,1474.65,3348,45160,66212868.00,
500116,IDBI BANK L ,A ,Q,36.70,37.75,35.70,36.00,36.00,36.30,5904,2474054,90861233.00,
500117,DCW LTD.    ,B ,Q,28.75,31.10,27.80,29.95,29.95,28.20,1616,566191,16850207.00,
500119,DHAMPUR SUGA,A ,Q,189.25,202.75,189.25,200.65,199.70,191.05,1520,100977,20142041.00,
500120,DIAMINES&CHM,X ,Q,310.95,310.95,291.00,293.00,293.00,301.90,486,17724,5259152.00,
500123,ELANTAS     ,A ,Q,3620.00,3663.95,3501.30,3589.00,3586.00,3684.30,259,1716,6165090.00,
500124,DR.REDDY'S  ,A ,Q,4489.40,4521.70,4463.65,4490.20,4490.20,4489.40,1926,19844,89191217.00,
500125,E.I.D.PAR   ,A ,Q,349.00,366.55,346.80,355.00,354.10,343.25,932,38404,13728129.00,
500126,PGHL        ,A ,Q,6750.00,6777.40,6695.00,6704.10,6695.00,6721.05,143,272,1833872.00,
500128,ELEC.CASTING,B ,Q,26.55,27.75,26.50,26.80,26.80,26.35,357,64694,1747874.00,
500133,ESAB INDIA  ,A ,Q,1900.00,1900.00,1855.95,1869.75,1855.95,1860.30,505,1925,3608845.00,
500135,EPL         ,A ,Q,223.80,224.90,217.35,218.60,218.95,219.10,821,51806,11431189.00,
500136,ESTER INDUS.,B ,Q,114.70,120.80,113.65,116.80,117.15,115.65,360,25913,3030257.00,
500143,P.H.CAPITAL ,X ,Q,31.20,31.20,31.20,31.20,31.20,29.90,1,11,343.00,
