SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,4214.80,4248.00,4094.00,4104.70,4104.70,4232.55,724,3435,14312443.00,
500003,AEGIS LOGIS ,A ,Q,335.15,337.80,325.95,333.30,333.30,327.40,1687,39065,13038065.00,
500008,AMAR RAJA BA,A ,Q,639.90,644.85,635.70,637.75,637.75,638.70,2907,39577,25342040.00,
500009,A.SARABHAI  ,XT,Q,39.25,39.83,37.94,39.83,39.83,37.94,536,295221,11721088.00,
500012,ANDHRA PETRO,X ,Q,75.01,76.10,74.00,74.37,74.95,75.09,477,54317,4087670.00,
500013,ANSAL INFRAS,T ,Q,14.34,14.34,14.15,14.34,14.34,13.66,101,85261,1221824.00,
500014,UTIQUE      ,X ,Q,6.80,6.80,5.61,6.01,6.27,6.56,250,74026,463121.00,
500016,ARUNAHTEL   ,X ,Q,17.39,17.39,16.31,16.47,16.50,17.00,47,7423,122611.00,
500020,BOM DYEING  ,A ,Q,148.40,149.75,144.90,145.45,145.45,147.35,2592,235478,34542041.00,
500023,ASIANHOTNR  ,T ,Q,142.70,142.70,142.70,142.70,142.70,136.10,1,1,142.00,
500027,ATUL LTD.   ,A ,Q,7005.05,7046.90,6966.00,7014.80,7024.00,7013.90,483,1283,8995822.00,
500028,ATV PROJECTS,XT,Q,12.13,12.48,11.95,12.46,12.48,11.89,148,55245,680317.00,
500031,BAJAJ ELECT.,T ,Q,1110.15,1126.00,1070.00,1110.00,1110.00,1107.95,85,1032,1147993.00,
500032,BAJAJHIND   ,A ,Q,26.93,27.49,26.23,26.38,26.38,26.79,7165,3288926,88493259.00,
500033,FORCE MOTR  ,B ,Q,3920.15,3920.15,3777.95,3786.90,3794.90,3852.85,711,2773,10611979.00,
500034,BAJFINANCE  ,A ,Q,7800.00,7829.00,7720.00,7737.15,7737.15,7838.65,4550,23921,185957115.00,
500038,BALRAM.CHINI,A ,Q,448.00,461.95,439.05,443.85,443.70,445.15,4320,291619,131524859.00,
500039,BANCO PROD. ,B ,Q,477.95,482.05,467.00,470.35,471.50,470.10,965,16329,7747929.00,
500040,CENTURY TEXT,A ,Q,1078.70,1094.00,1072.55,1080.95,1085.90,1077.60,673,7597,8210525.00,
500041,BANNARI AMAN,B ,Q,2641.95,2659.00,2606.45,2617.95,2614.50,2623.25,45,115,302538.00,
500042,BASF INDIA  ,A ,Q,2558.95,2628.55,2509.00,2535.70,2542.30,2538.05,761,1854,4763942.00,
500043,BATA INDIA  ,A ,Q,1610.25,1620.60,1586.85,1588.20,1591.80,1607.55,647,4432,7101717.00,
500048,BEML LTD    ,A ,Q,2320.55,2367.95,2310.40,2322.20,2325.30,2316.70,1114,9499,22173344.00,
500049,BHARAT ELECT,A ,Q,137.75,137.95,134.65,135.25,135.25,136.55,8894,494908,67397027.00,
500052,BHANSALI ENG,B ,Q,89.25,90.75,88.05,88.36,88.25,89.20,1791,40789,3628680.00,
500058,BIHAR SPONGE,XT,Q,11.00,11.15,10.42,10.42,10.42,10.96,425,159915,1711358.00,
500059,BINANI IND. ,T ,Q,16.27,16.27,16.27,16.27,16.27,16.60,7,1852,30132.00,
500060,BIRLACABLE  ,B ,Q,348.95,352.30,335.60,342.55,342.55,340.05,3467,63371,21765500.00,
500067,BLUE STAR   ,A ,Q,909.85,909.85,885.70,894.40,895.60,887.25,417,3752,3352101.00,
500068,DISA INDIA  ,B ,Q,14600.05,14600.05,14201.55,14287.50,14329.95,14438.90,30,64,914741.00,
500069,QUESTCAP    ,X ,Q,266.20,277.85,266.00,266.10,266.00,277.75,20,502,133634.00,
500074,BPL LTD.    ,B ,Q,78.50,88.77,78.50,84.63,84.50,79.29,1953,72777,6301740.00,
500078,OAL         ,B ,Q,367.95,368.00,355.50,356.70,355.50,363.70,217,1431,517109.00,
500083,CENTURY EXT ,T ,Q,17.04,17.04,16.60,16.76,16.76,16.81,279,78141,1317896.00,
500084,CESC LTD.   ,A ,Q,90.89,91.22,88.15,89.96,89.96,89.90,1211,133187,11981307.00,
500085,CHAMBAL FERT,A ,Q,278.25,280.90,272.00,273.05,273.05,279.90,4519,156533,43216914.00,
500086,EXIDE IND.  ,A ,Q,261.90,261.90,256.55,257.95,257.95,260.15,4541,96724,25023773.00,
500087,CIPLA LTD.  ,A ,Q,1180.45,1184.70,1158.65,1164.00,1164.00,1180.50,2808,20655,24146207.00,
500089,DIC INDIA   ,B ,Q,446.95,447.55,437.25,438.50,438.50,442.30,42,303,134116.00,
500092,CRISIL LTD  ,A ,Q,3840.05,3914.85,3836.30,3904.90,3902.90,3856.90,758,1416,5499999.00,
500093,CGPOWER     ,A ,Q,443.95,448.50,433.95,437.40,434.65,438.00,1667,42089,18607582.00,
500096,DABUR (I)   ,A ,Q,560.05,562.10,545.70,547.95,547.35,560.85,2328,30666,16931789.00,
500097,DALMIASUG   ,B ,Q,454.45,465.80,447.45,452.20,453.60,454.45,1213,21352,9738124.00,
500101,ARVIND Ltd  ,A ,Q,169.95,175.30,169.95,174.30,174.25,169.95,1241,43655,7580129.00,
500103,BHEL        ,A ,Q,127.65,131.25,126.05,126.80,126.80,126.90,21747,3513148,452616969.00,
500104,HIND.PETRO  ,A ,Q,254.60,256.95,249.05,249.70,250.40,256.30,4432,247025,62294274.00,
