SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,3898.25,3906.40,3810.00,3892.00,3886.00,3898.30,1862,9986,38415059.00,
500003,AEGIS LOGIS ,A ,Q,365.00,370.20,362.30,366.75,366.15,369.20,1444,13459,4938984.00,
500008,AMAR RAJA BA,A ,Q,634.85,642.50,631.20,633.90,637.90,638.85,2408,42473,27037798.00,
500009,A.SARABHAI  ,X ,Q,22.18,22.18,21.51,21.60,21.60,21.73,131,17613,383309.00,
500010,HDFC        ,A ,Q,2701.05,2721.10,2694.00,2702.75,2702.75,2711.95,3187,33965,91920587.00,
500012,ANDHRA PETRO,X ,Q,59.10,62.25,59.10,61.50,61.50,61.67,1001,162467,9916812.00,
500013,ANSAL INFRAS,T ,Q,9.65,10.29,9.46,10.27,10.20,9.80,52,13746,138865.00,
500014,UTIQUE      ,X ,Q,5.65,5.65,5.16,5.24,5.30,5.46,229,50341,266623.00,
500016,ARUNAHTEL   ,XT,Q,22.30,22.38,20.26,21.49,22.18,21.32,156,46911,1001084.00,
500020,BOM DYEING  ,B ,Q,82.02,83.43,81.61,81.90,82.16,82.65,669,55258,4555253.00,
500023,ASIANHOTNR  ,T ,Q,167.00,167.00,160.00,166.50,166.90,159.90,4,20,3331.00,
500027,ATUL LTD.   ,A ,Q,6615.10,6633.55,6568.85,6618.20,6618.20,6609.75,340,849,5600512.00,
500028,ATV PROJECTS,XT,Q,8.90,8.90,8.51,8.76,8.59,8.84,64,15155,131849.00,
500031,BAJAJ ELECT.,A ,Q,1180.05,1218.45,1180.05,1202.10,1200.00,1180.80,946,9130,10976940.00,
500032,BAJAJHIND   ,A ,Q,13.66,13.66,13.36,13.41,13.41,13.58,1405,865015,11654413.00,
500033,FORCE MOTR  ,B ,Q,1357.15,1383.55,1357.15,1368.50,1367.30,1363.75,126,507,694292.00,
500034,BAJFINANCE  ,A ,Q,6771.00,6815.20,6762.05,6791.85,6791.85,6784.20,5350,30847,209396138.00,
500038,BALRAM.CHINI,A ,Q,388.00,394.55,385.20,393.45,393.45,388.45,2584,94476,36938882.00,
500039,BANCO PROD. ,B ,Q,280.05,280.60,251.20,253.95,254.00,272.80,3563,109281,28028499.00,
500040,CENTURY TEXT,A ,Q,810.00,811.00,791.00,801.10,806.00,803.55,920,10593,8503312.00,
500041,BANNARI AMAN,B ,Q,2355.00,2740.15,2355.00,2720.00,2720.00,2700.55,17,24,64802.00,
500042,BASF INDIA  ,A ,Q,2430.05,2457.95,2426.00,2446.85,2447.10,2444.05,98,213,520770.00,
500043,BATA INDIA  ,A ,Q,1545.10,1545.10,1509.40,1529.15,1524.55,1533.05,843,6743,10291408.00,
500048,BEML LTD    ,A ,Q,1448.95,1448.95,1428.15,1436.45,1437.00,1418.20,319,3432,4929100.00,
500049,BHARAT ELECT,A ,Q,108.25,111.30,107.55,110.40,110.40,107.05,11381,1786308,197037180.00,
500052,BHANSALI ENG,A ,Q,137.50,143.95,136.75,140.05,140.05,136.10,5696,371079,52124279.00,
500058,BIHAR SPONGE,XT,Q,9.20,9.20,8.75,8.80,8.80,8.82,41,11861,104902.00,
500059,BINANI IND. ,B ,Q,24.84,24.84,23.60,23.60,23.60,24.84,72,11448,272506.00,
