TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-09-25,2024-09-25,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8078.45,8198.00,7990.35,8173.95,8173.95,8079.00,,8178.10,,,15631,126695573.00,4184,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,772.35,772.35,745.00,750.45,750.25,755.35,,750.55,,,3487,2607411.00,374,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,1377.65,1394.95,1349.65,1365.40,1362.95,1363.70,,1365.50,,,28700,39168486.00,1827,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,59.97,60.12,58.00,58.81,58.81,59.53,,58.81,,,155895,9198604.00,724,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,96.71,97.48,95.00,95.65,95.65,96.79,,95.65,,,161573,15485992.00,2043,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,7.89,7.93,7.60,7.72,7.72,7.77,,7.72,,,19862,154443.00,170,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,12.27,12.29,11.66,11.91,11.98,12.03,,11.91,,,12355,146291.00,40,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,211.00,219.85,209.15,218.10,218.10,213.25,,218.16,,,158804,34002891.00,2291,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,177.00,180.05,173.00,173.05,173.05,176.95,,170.08,,,1097,190588.00,35,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,7520.00,7570.95,7461.75,7504.70,7510.00,7560.50,,7509.30,,,825,6188035.00,381,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500028,INE447A01015,ATVPR,XT,,,,,ATV PROJECTS INDIA LTD.,33.30,33.30,32.85,33.00,33.00,33.50,,33.00,,,31949,1057216.00,51,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,980.05,987.00,972.00,979.60,979.00,980.05,,979.45,,,2793,2726192.00,354,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,40.85,41.94,40.44,40.65,40.65,40.57,,40.65,,,2199400,90621027.00,6295,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,7179.65,7179.65,7001.00,7067.10,7020.00,7080.95,,7063.70,,,3300,23362981.00,1251,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500034,INE296A01024,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,7531.30,7641.10,7491.35,7623.80,7623.80,7555.35,,7623.90,,,48692,369950753.00,7432,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD.,610.55,616.55,600.80,607.75,608.50,609.80,,607.95,,,120065,73006117.00,4558,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,B,,,,,BANCO PRODUCTS (INDIA) LTD.,666.20,681.25,666.20,675.00,674.20,674.15,,676.25,,,3541,2398510.00,342,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500040,INE055A01016,CENTURYTEX,A,,,,,CENTURY TEXTILES & INDUSTRIES,2774.95,2796.70,2728.85,2745.75,2735.05,2775.30,,2744.65,,,11007,30396831.00,1328,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500041,INE459A01010,BANARISUG,B,,,,,BANNARI AMMAN SUGARS LTD.,3426.35,3577.35,3426.35,3510.45,3490.20,3496.25,,3504.95,,,453,1591777.00,128,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500042,INE373A01013,BASF,A,,,,,BASF INDIA LTD.,6816.15,6863.45,6712.00,6726.95,6757.30,6682.45,,6729.30,,,645,4369075.00,247,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500043,INE176A01028,BATAINDIA,A,,,,,BATA INDIA LTD.,1429.00,1436.00,1407.10,1428.35,1424.05,1427.95,,1428.40,,,6074,8628673.00,1045,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500048,INE258A01016,BEML,A,,,,,BEML LTD.,3830.00,3838.00,3736.35,3745.10,3765.00,3822.10,,3745.70,,,6506,24561530.00,1234,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500049,INE263A01024,BEL,A,,,,,BHARAT ELECTRONICS LTD.,294.45,295.00,287.60,289.85,289.85,292.15,,289.85,,,1314571,382869393.00,16891,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500052,INE922A01025,BEPL,B,,,,,BHANSALI ENGINEERING POLYMERS,159.55,159.55,154.35,155.35,155.00,158.85,,155.30,,,108742,16951904.00,1718,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500058,INE819C01011,BIHSPONG,X,,,,,BIHAR SPONGE IRON LTD.,23.39,23.65,22.22,22.59,22.66,23.10,,22.59,,,88865,2022134.00,278,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500059,INE071A01013,BINANIIND,T,,,,,BINANI INDUSTRIES LTD.,17.18,17.18,17.15,17.15,17.15,18.05,,17.03,,,2899,49760.00,28,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500060,INE800A01015,BIRLACABLE,B,,,,,Birla Cable Limited,265.65,265.65,258.55,259.85,259.85,260.65,,259.75,,,7263,1891841.00,346,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500067,INE472A01039,BLUESTARCO,A,,,,,BLUE STAR LTD.,2030.30,2062.30,2022.10,2053.90,2053.90,2026.30,,2051.55,,,17543,35942618.00,1795,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500068,INE131C01011,DISAQ,B,,,,,DISA INDIA LTD.,18100.00,18187.90,17905.05,18000.00,18000.00,18130.85,,18000.00,,,27,485956.00,11,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500069,INE418C01012,QUESTCAP,X,,,,,QUEST CAPITAL MARKETS LIMITED,519.30,519.30,500.00,512.30,519.00,500.00,,512.30,,,8238,4194400.00,72,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500074,INE110A01019,BPL,T,,,,,BPL LTD.,114.00,115.90,110.00,110.15,110.60,111.40,,109.75,,,23163,2614936.00,215,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500078,INE959C01023,OAL,B,,,,,ORIENTAL AROMATICS LIMITED,519.40,519.45,498.85,505.60,501.75,515.75,,505.90,,,5375,2727448.00,634,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500083,INE281A01026,CENTEXT,T,,,,,CENTURY EXTRUSIONS LTD.,23.51,25.30,23.51,24.35,24.35,24.35,,24.73,,,42289,1035884.00,195,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500084,INE486A01021,CESC,A,,,,,CESC LTD.,202.30,207.10,199.95,206.00,206.00,200.95,,206.01,,,900992,184457412.00,10077,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500085,INE085A01013,CHAMBLFERT,A,,,,,CHAMBAL FERTILISERS & CHEMICAL,501.00,517.65,500.55,515.25,516.00,501.05,,515.65,,,126599,64852301.00,3732,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500086,INE302A01020,EXIDEIND,A,,,,,EXIDE INDUSTRIES LTD.,476.15,477.45,469.30,473.55,473.55,476.75,,473.70,,,128264,60625851.00,6003,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500087,INE059A01026,CIPLA,A,,,,,CIPLA LTD.,1638.00,1647.00,1617.90,1643.20,1643.70,1637.40,,1643.20,,,14994,24463274.00,1391,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500089,INE303A01010,DICIND,T,,,,,DIC INDIA LTD.,696.25,696.25,696.25,696.25,696.25,710.05,,702.20,,,8,5570.00,1,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500092,INE007A01025,CRISIL,A,,,,,CRISIL LTD.,4648.00,4648.00,4528.95,4545.15,4545.15,4632.70,,4546.55,,,774,3545156.00,268,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500093,INE067A01029,CGPOWER,A,,,,,CG Power and Industrial Soluti,784.55,814.35,769.35,775.80,775.80,781.75,,775.85,,,248516,197269190.00,15473,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500096,INE016A01026,DABUR,A,,,,,DABUR INDIA LTD.,650.00,651.05,622.35,627.10,627.70,655.75,,627.00,,,152845,96189104.00,6164,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500097,INE495A01022,DALMIASUG,B,,,,,DALMIA BHARAT SUGAR AND INDUST,506.65,537.00,506.65,529.20,531.30,510.70,,528.90,,,69351,36591783.00,2741,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500101,INE034A01011,ARVIND,A,,,,,ARVIND LTD.,400.60,401.50,390.60,396.40,397.05,396.80,,396.65,,,20791,8199633.00,1117,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500103,INE257A01026,BHEL,A,,,,,BHARAT HEAVY ELECTRICALS LTD.,282.40,284.60,278.75,282.05,282.05,282.30,,282.15,,,862007,242820157.00,12567,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500104,INE094A01015,HINDPETRO,A,,,,,HINDUSTAN PETROLEUM CORPORATIO,417.25,419.00,407.70,417.05,417.05,417.25,,417.40,,,255120,105411040.00,4248,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500106,INE039A01010,IFCI,A,,,,,IFCI LTD.,69.08,69.58,67.49,67.91,67.91,69.42,,67.92,,,1290050,87932612.00,7950,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500108,INE153A01019,MTNL,A,,,,,MAHANAGAR TELEPHONE NIGAM LTD.,53.05,54.15,52.55,52.74,52.74,53.90,,52.74,,,148697,7895000.00,1214,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500109,INE103A01014,MRPL,A,,,,,MANGALORE REFINERY & PETROCHEM,182.95,182.95,177.10,177.75,179.10,181.30,,177.87,,,104478,18722028.00,3068,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500110,INE178A01016,CHENNPETRO,A,,,,,CHENNAI PETROLEUM CORPORATION,927.80,931.00,912.85,926.50,926.50,921.30,,927.50,,,17842,16458609.00,1102,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500112,INE062A01020,SBIN,A,,,,,STATE BANK OF INDIA,798.25,798.25,788.65,792.95,792.95,798.35,,793.10,,,524539,415830519.00,20595,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500113,INE114A01011,SAIL,A,,,,,STEEL AUTHORITY OF INDIA LTD.,135.40,137.10,134.00,134.20,134.20,133.85,,134.23,,,1714155,232105230.00,14976,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500114,INE280A01028,TITAN,A,,,,,TITAN COMPANY LIMITED,3800.00,3803.20,3710.10,3738.45,3748.00,3783.25,,3737.30,,,69183,258794667.00,4376,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500116,INE008A01015,IDBI,A,,,,,IDBI BANK LTD.,90.50,90.50,88.76,89.02,89.02,90.06,,89.05,,,347545,31048869.00,3102,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500117,INE500A01029,DCW,A,,,,,DCW LTD.,97.77,97.93,95.45,96.59,96.63,97.72,,96.71,,,169584,16339999.00,1266,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500119,INE041A01016,DHAMPURSUG,B,,,,,DHAMPUR SUGAR MILLS LTD.,218.00,224.95,217.30,221.00,221.50,215.55,,221.15,,,102367,22722324.00,2141,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500120,INE591D01014,DIAMINESQ,B,,,,,DIAMINES & CHEMICALS LTD.,572.00,580.25,562.25,563.90,565.35,566.70,,562.55,,,1054,599372.00,140,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500123,INE280B01018,ELANTAS,B,,,,,ELANTAS BECK INDIA LTD.,12200.00,12349.95,12107.55,12266.20,12242.15,12191.30,,12266.20,,,523,6411077.00,120,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500124,INE089A01023,DRREDDY,A,,,,,DR.REDDYS LABORATORIES LTD.,6697.70,6705.00,6596.00,6693.65,6693.65,6650.90,,6691.50,,,9811,65254257.00,3223,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500125,INE126A01031,EIDPARRY,A,,,,,E.I.D.-PARRY (INDIA) LTD.,828.70,834.55,819.00,832.85,833.00,825.35,,833.80,,,19953,16527871.00,1131,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500126,INE199A01012,PGHL,A,,,,,PROCTER & GAMBLE HEALTH LIMITE,5327.10,5352.75,5280.05,5308.90,5296.90,5346.00,,5311.85,,,947,5039006.00,443,F1,1,,,,,
2024-09-25,2024-09-25,CM,BSE,STK,500128,INE086A01029,ELECTCAST,A,,,,,ELECTROSTEEL CASTINGS LTD.,214.30,218.65,212.90,214.50,214.50,216.45,,214.81,,,106879,22963933.00,2343,F1,1,,,,,
