SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,2293.35,2313.90,2237.65,2281.45,2284.15,2295.75,826,5902,13445531.00,
500003,AEGIS LOGIS ,A ,Q,215.00,219.65,210.35,211.35,211.50,217.30,1253,42357,9105710.00,
500008,AMAR RAJA BA,A ,Q,498.30,503.90,486.25,489.40,489.40,498.20,5798,90071,44282488.00,
500009,A.SARABHAI  ,X ,Q,31.30,31.70,30.70,30.95,30.75,31.15,286,47689,1482240.00,
500010,HDFC        ,A ,Q,2165.00,2225.45,2159.65,2207.55,2210.00,2172.20,4063,47049,103642503.00,
500012,ANDHRA PETRO,B ,Q,105.20,105.90,99.05,100.30,100.30,106.90,1322,117829,12054143.00,
500013,ANSAL INFRAS,T ,Q,14.25,14.45,13.55,13.95,14.00,13.90,22,2413,33665.00,
500014,UTIQUE      ,X ,Q,5.29,5.48,4.76,4.95,4.95,5.17,295,82959,427923.00,
500016,ARUNAHTEL   ,X ,Q,11.80,11.80,10.70,11.00,11.33,11.19,149,30616,336387.00,
500020,BOM DYEING  ,A ,Q,107.50,108.25,103.55,103.95,103.60,106.70,2259,228928,24143441.00,
500023,ASIANHOTNR  ,B ,Q,76.45,81.00,76.45,78.55,78.55,77.70,47,1017,79480.00,
500027,ATUL LTD.   ,A ,Q,8183.70,8192.95,8050.00,8072.40,8065.00,8113.60,507,714,5779585.00,
500028,ATV PROJECTS,XT,Q,8.40,8.79,8.14,8.48,8.49,8.56,78,13924,115031.00,
500031,BAJAJ ELECT.,A ,Q,953.05,997.15,935.05,989.15,997.00,944.10,2381,14999,14652718.00,
500032,BAJAJHIND   ,A ,Q,15.10,15.20,14.40,14.40,14.40,15.15,3411,1650907,24152797.00,
500033,FORCE MOTR  ,A ,Q,1050.05,1060.90,1024.25,1028.20,1030.00,1058.85,273,1038,1076821.00,
500034,BAJFINANCE  ,A ,Q,5810.00,5833.70,5720.95,5799.00,5810.00,5793.30,4292,29369,170094947.00,
500038,BALRAM.CHINI,A ,Q,414.80,417.20,371.75,389.10,389.10,412.55,7557,320351,125202307.00,
500039,BANCO PROD. ,B ,Q,128.75,129.25,126.25,127.05,126.25,126.85,65,923,117703.00,
500040,CENTURY TEXT,A ,Q,725.00,749.10,721.55,744.90,738.05,717.00,1412,13578,9975663.00,
500041,BANNARI AMAN,A ,Q,2499.00,2515.00,2450.00,2476.20,2468.30,2546.65,33,36,89390.00,
500042,BASF INDIA  ,A ,Q,2448.60,2478.60,2432.00,2456.45,2456.45,2434.75,268,856,2096523.00,
500043,BATA INDIA  ,A ,Q,1798.00,1798.00,1739.30,1782.50,1783.90,1765.05,1796,15152,26766323.00,
500048,BEML LTD    ,A ,Q,1417.00,1417.00,1357.30,1363.15,1357.65,1393.80,753,3988,5479045.00,
500049,BHARAT ELECT,A ,Q,220.00,233.25,219.90,231.85,231.85,231.25,4308,272920,62419611.00,
500052,BHANSALI ENG,A ,Q,116.40,116.40,112.15,112.50,112.45,115.05,802,14988,1700998.00,
500058,BIHAR SPONGE,XT,Q,8.90,9.10,8.51,8.69,8.69,8.95,97,13366,114750.00,
500060,BIRLACABLE  ,B ,Q,133.50,138.45,127.50,129.40,128.80,131.75,1214,28338,3745470.00,
500067,BLUE STAR   ,A ,Q,1031.50,1050.75,1000.00,1008.40,1007.00,1032.45,995,4643,4743834.00,
500068,DISA INDIA  ,X ,Q,6120.00,6273.00,6099.95,6156.75,6175.95,6164.15,58,243,1501750.00,
500069,QUESTCAP    ,X ,Q,267.30,294.85,267.30,286.30,289.80,281.35,351,23880,6551772.00,
500074,BPL LTD.    ,B ,Q,63.25,65.80,62.60,62.95,62.60,65.30,208,5841,373373.00,
500078,OAL         ,B ,Q,550.00,564.40,532.00,537.75,532.00,551.30,124,595,323625.00,
500083,CENTURY EXT ,B ,Q,10.00,10.45,10.00,10.36,10.45,9.93,65,7783,79663.00,
500084,CESC LTD.   ,A ,Q,78.50,79.30,77.75,78.60,78.60,78.25,1372,96411,7575627.00,
500085,CHAMBAL FERT,A ,Q,411.80,419.95,398.00,401.30,401.30,404.55,3790,135429,55608926.00,
500086,EXIDE IND.  ,A ,Q,143.50,143.90,140.10,141.00,141.00,143.25,2166,108001,15313568.00,
500087,CIPLA LTD.  ,A ,Q,975.00,977.10,962.00,970.50,970.95,970.55,1873,25279,24530276.00,
500089,DIC INDIA   ,B ,Q,354.00,365.95,354.00,363.40,363.40,354.00,43,283,101902.00,
500092,CRISIL LTD  ,A ,Q,3649.95,3753.35,3629.45,3717.40,3684.10,3638.55,838,3295,12200956.00,
500093,CGPOWER     ,B ,Q,173.50,177.05,169.80,172.15,172.15,176.20,1884,79272,13843629.00,
500096,DABUR (I)   ,A ,Q,507.00,507.85,498.15,502.10,504.15,506.30,2703,58680,29533867.00,
500097,DALMIASUG   ,A ,Q,472.90,472.90,401.70,407.20,407.20,442.55,4377,42679,18025202.00,
500101,ARVIND Ltd  ,A ,Q,103.70,104.70,98.50,100.10,100.25,103.30,2049,118241,11949478.00,
500102,BALARPUR IND,Z ,Q,1.55,1.55,1.43,1.43,1.43,1.50,322,1553092,2250989.00,
500103,BHEL        ,A ,Q,51.35,51.50,50.00,50.40,50.40,51.10,6968,2173422,109620910.00,
500104,HIND.PETRO  ,A ,Q,240.00,243.90,238.15,242.15,242.15,237.60,3416,136593,32996369.00,
500106,IFCI LTD    ,A ,Q,9.89,10.05,9.86,9.92,9.92,9.95,904,371707,3696575.00,
500108,MAHA.TELE   ,A ,Q,22.00,22.30,21.55,21.75,21.75,22.10,523,98972,2166773.00,
500109,MRPL        ,A ,Q,83.70,83.70,83.70,83.70,83.70,88.10,247,25035,2095429.00,
500110,CHENNAI PET.,A ,Q,309.80,309.80,309.80,309.80,309.80,326.10,194,7197,2229630.00,
500111,REL.CAP.    ,B ,Q,14.65,14.65,14.15,14.20,14.20,14.35,487,79422,1131786.00,
500112,STATE BANK  ,A ,Q,462.00,466.70,460.20,462.35,462.35,460.95,10816,449676,208511047.00,
500113,STEEL AUTH. ,A ,Q,75.00,75.70,73.40,74.30,74.30,73.90,14974,3664933,271881123.00,
500114,TITAN       ,A ,Q,2164.00,2164.00,2121.75,2140.10,2140.10,2149.85,2245,21490,46045097.00,
500116,IDBI BANK L ,A ,Q,36.95,37.00,35.35,35.65,35.65,36.55,2444,493709,17900842.00,
500117,DCW LTD.    ,B ,Q,45.00,45.95,43.45,44.55,44.55,44.45,3141,281559,12561827.00,
500119,DHAMPUR SUGA,T ,Q,258.10,268.80,257.20,257.20,257.20,270.70,467,7109,1831743.00,
500120,DIAMINES&CHM,X ,Q,296.15,301.70,292.25,293.90,293.90,298.65,118,11411,3373048.00,
500123,ELANTAS     ,B ,Q,3897.00,3920.00,3805.05,3913.20,3920.00,3861.40,98,1031,4002410.00,
500124,DR.REDDY'S  ,A ,Q,4252.25,4375.95,4252.25,4351.10,4351.10,4274.25,2962,20388,88289561.00,
500125,E.I.D.PAR   ,A ,Q,496.00,497.00,473.15,483.60,483.60,491.80,3884,48851,23770140.00,
500126,PGHL        ,A ,Q,4382.70,4391.95,4315.20,4350.60,4330.05,4370.30,208,287,1249176.00,
500128,ELEC.CASTING,B ,Q,35.15,35.60,34.30,34.55,34.55,35.20,637,45073,1575245.00,
500133,ESAB INDIA  ,A ,Q,3901.85,3937.80,3826.35,3905.95,3885.85,3876.20,273,430,1673451.00,
500135,EPL         ,A ,Q,166.00,167.30,156.00,158.55,158.55,164.15,539,10189,1654468.00,
500136,ESTER INDUS.,B ,Q,136.35,136.95,132.75,134.85,134.75,134.30,564,8643,1167010.00,
