TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-10-21,2024-10-21,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8849.90,8873.70,8260.80,8279.90,8279.90,8780.45,,8279.70,,,8934,75527950.00,2358,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,713.00,754.15,711.50,741.80,741.80,725.90,,744.25,,,33251,24668157.00,1636,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,1350.05,1357.95,1328.00,1330.10,1330.10,1342.80,,1330.25,,,52881,70627509.00,4412,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,58.99,59.40,56.68,57.26,57.26,57.45,,57.26,,,84261,4865604.00,481,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,88.78,88.79,86.45,86.62,86.62,88.31,,86.62,,,82919,7231133.00,1378,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,11.52,12.00,11.52,11.53,11.60,12.12,,11.60,,,130754,1507318.00,86,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,7.45,7.45,7.01,7.21,7.21,7.28,,7.21,,,15883,114389.00,195,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,11.51,11.51,11.06,11.31,11.30,11.51,,11.31,,,3838,42722.00,26,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,251.75,256.25,240.20,241.30,241.30,249.95,,241.35,,,447323,111984590.00,6593,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,199.55,200.05,190.00,190.20,190.20,199.55,,190.15,,,468,89958.00,21,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,7766.70,7790.35,7582.00,7595.40,7582.00,7770.25,,7602.05,,,661,5050006.00,307,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500028,INE447A01015,ATVPR,X,,,,,ATV PROJECTS INDIA LTD.,41.00,41.00,37.60,37.70,37.70,39.57,,37.70,,,39388,1527983.00,394,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,860.65,872.00,848.70,856.65,861.40,860.35,,857.60,,,13388,11460641.00,773,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,37.93,37.93,36.00,36.20,36.20,37.34,,36.26,,,1539914,56720392.00,6586,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,6980.00,7098.90,6734.45,6755.75,6755.75,6904.80,,6759.90,,,2011,13712806.00,560,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500034,INE296A01024,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,6900.05,6953.30,6720.00,6784.50,6784.50,6897.25,,6780.95,,,47953,325001721.00,5315,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD.,645.95,648.45,624.75,632.00,628.05,638.10,,632.90,,,34901,22144251.00,1282,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,B,,,,,BANCO PRODUCTS (INDIA) LTD.,700.25,712.65,689.05,695.05,693.75,711.45,,695.15,,,9609,6716227.00,854,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500040,INE055A01016,ABREL,A,,,,,ADITYA BIRLA REAL ESTATE LIMIT,3052.95,3141.95,2954.00,3035.20,3017.00,3052.95,,3030.75,,,20200,61508512.00,3098,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500041,INE459A01010,BANARISUG,B,,,,,BANNARI AMMAN SUGARS LTD.,3724.40,3736.15,3698.15,3699.50,3699.00,3731.85,,3700.55,,,24,89248.00,16,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500042,INE373A01013,BASF,A,,,,,BASF INDIA LTD.,8025.00,8121.50,7659.30,7712.35,7701.00,8024.85,,7716.55,,,4931,38458709.00,1491,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500043,INE176A01028,BATAINDIA,A,,,,,BATA INDIA LTD.,1464.30,1466.40,1418.00,1432.00,1430.80,1464.35,,1430.80,,,8722,12521268.00,907,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500048,INE258A01016,BEML,A,,,,,BEML LTD.,4050.05,4142.00,3938.00,4059.70,4059.70,4040.20,,4068.05,,,40890,166919836.00,6176,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500049,INE263A01024,BEL,A,,,,,BHARAT ELECTRONICS LTD.,285.70,287.45,281.15,282.10,282.10,287.15,,282.30,,,679619,192968177.00,12289,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500052,INE922A01025,BEPL,B,,,,,BHANSALI ENGINEERING POLYMERS,154.50,156.00,146.75,149.10,150.10,154.60,,149.15,,,107633,16279668.00,1729,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500058,INE819C01011,BIHSPONG,X,,,,,BIHAR SPONGE IRON LTD.,18.47,18.47,17.70,18.02,18.19,17.89,,18.02,,,28320,510659.00,154,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500059,INE071A01013,BINANIIND,T,,,,,BINANI INDUSTRIES LTD.,17.00,17.34,16.00,16.25,16.20,16.66,,16.36,,,4307,71475.00,21,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500060,INE800A01015,BIRLACABLE,B,,,,,Birla Cable Limited,237.90,239.75,231.70,234.35,234.35,236.70,,233.45,,,10709,2512063.00,514,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500067,INE472A01039,BLUESTARCO,A,,,,,BLUE STAR LTD.,2034.95,2050.00,1998.45,2018.75,2018.75,2024.50,,2017.90,,,9441,19060723.00,1179,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500068,INE131C01011,DISAQ,B,,,,,DISA INDIA LTD.,19245.00,19245.00,18300.00,18346.85,18325.00,18607.85,,18346.85,,,135,2498132.00,47,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500069,INE418C01012,QUESTCAP,X,,,,,QUEST CAPITAL MARKETS LIMITED,512.00,540.00,491.35,495.35,495.00,511.75,,495.35,,,14769,7587851.00,183,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500074,INE110A01019,BPL,B,,,,,BPL LTD.,119.25,119.25,112.25,112.90,112.90,116.95,,112.85,,,25118,2857801.00,488,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500078,INE959C01023,OAL,B,,,,,ORIENTAL AROMATICS LIMITED,547.00,608.50,547.00,592.55,595.00,546.90,,593.30,,,62665,36685236.00,4195,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500083,INE281A01026,CENTEXT,T,,,,,CENTURY EXTRUSIONS LTD.,24.49,25.43,24.49,25.43,25.43,24.22,,24.89,,,80813,2053557.00,196,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500084,INE486A01021,CESC,A,,,,,CESC LTD.,197.15,199.25,191.15,192.80,192.80,197.10,,192.65,,,241438,47138405.00,3179,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500085,INE085A01013,CHAMBLFERT,A,,,,,CHAMBAL FERTILISERS & CHEMICAL,493.10,496.35,483.85,486.75,486.60,493.05,,487.25,,,50879,24802976.00,2181,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500086,INE302A01020,EXIDEIND,A,,,,,EXIDE INDUSTRIES LTD.,495.95,499.00,485.00,486.70,486.70,496.10,,486.85,,,251631,123625144.00,8419,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500087,INE059A01026,CIPLA,A,,,,,CIPLA LTD.,1559.95,1561.70,1516.10,1522.95,1521.75,1551.50,,1523.75,,,13743,21089796.00,1567,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500089,INE303A01010,DICIND,T,,,,,DIC INDIA LTD.,806.00,833.00,800.00,810.80,800.00,803.50,,819.55,,,797,648264.00,46,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500092,INE007A01025,CRISIL,A,,,,,CRISIL LTD.,4711.00,5022.45,4697.25,4897.90,4897.90,4705.50,,4896.65,,,16462,80926975.00,2893,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500093,INE067A01029,CGPOWER,A,,,,,CG Power and Industrial Soluti,822.40,857.65,763.50,776.75,776.75,818.80,,775.65,,,296814,238557753.00,11798,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500096,INE016A01026,DABUR,A,,,,,DABUR INDIA LTD.,570.00,574.75,566.55,567.80,568.25,571.30,,568.20,,,16902,9638357.00,827,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500097,INE495A01022,DALMIASUG,B,,,,,DALMIA BHARAT SUGAR AND INDUST,498.05,505.35,488.80,491.40,488.80,506.65,,490.55,,,10142,5005496.00,622,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500101,INE034A01011,ARVIND,A,,,,,ARVIND LTD.,365.00,365.00,352.00,355.05,355.25,360.20,,354.65,,,20281,7257588.00,731,F1,1,,,,,
2024-10-21,2024-10-21,CM,BSE,STK,500103,INE257A01026,BHEL,A,,,,,BHARAT HEAVY ELECTRICALS LTD.,255.05,258.10,245.00,247.65,247.65,253.70,,247.65,,,444260,110521114.00,5124,F1,1,,,,,
